consumption	cylinders	displacement	horsepower	weight	acceleration	year	origin	name
10.6915935	4	2294.18	72	1092.249536	11.806082	71	U.S.	Chevrolet Vega (Sw)
12.37973985	6	4096.75	100	1488.688944	9.32059105	71	U.S.	Pontiac Firebird
13.06750317	6	4096.75	88	1423.825288	9.009904681	71	U.S.	Ford Mustang
10.22674161	4	1999.214	86	1006.97424	8.699218313	71	U.S.	Mercury Capri 2000
8.400537754	4	1900.892	90	962.975816	8.699218313	71	Europe	Opel 1900
7.840501903	4	1294.573	70	940.749808	12.11676836	71	Europe	Peugeot 304
7.840501903	4	1442.056	76	936.66748	9.009904681	71	Europe	Fiat 124B
7.587582487	4	1163.477	65	804.218616	11.806082	71	Japan	Toyota Corolla 1200
6.720430203	4	1179.864	69	731.643896	11.18470926	71	Japan	Datsun 1200
8.711668782	4	1589.539	60	831.887728	11.806082	71	Europe	Volkswagen Model 111
9.046732966	4	1491.217	70	886.77236	12.7381411	71	U.S.	Plymouth Cricket
9.800627379	4	1851.731	95	1033.282576	9.631277418	72	Japan	Toyota Corona Hardtop
9.408602284	4	1597.7325	80	964.336592	10.56333652	72	U.S.	Dodge Colt Hardtop
10.22674161	4	1589.539	54	1022.396368	14.60225931	72	Europe	Volkswagen Type 3
11.76075286	4	2294.18	90	1092.249536	12.11676836	72	U.S.	Chevrolet Vega
11.200717	4	1999.214	86	1009.695792	10.25265015	72	U.S.	Ford Pinto Runabout
18.09346593	8	5735.45	165	1938.652208	7.45647284	72	U.S.	Chevrolet Impala
16.80107551	8	6554.8	175	1989.00092	7.45647284	72	U.S.	Pontiac Catalina
15.68100381	8	5211.066	150	1875.60292	8.388531945	72	U.S.	Plymouth Fury Iii
16.80107551	8	5751.837	153	1872.881368	8.077845576	72	U.S.	Ford Galaxie 500
13.83617983	8	4981.648	150	1665.589824	7.145786471	72	U.S.	Amc Ambassador Sst
21.38318701	8	7030.023	208	2101.491736	6.835100103	72	U.S.	Mercury Marquis
18.09346593	8	5735.45	155	2042.071184	8.388531945	72	U.S.	Buick Lesabre Custom
19.60125476	8	5735.45	160	2021.205952	8.388531945	72	U.S.	Oldsmobile Delta 88 Royale
18.09346593	8	6554.8	190	2005.783824	7.767159208	72	U.S.	Chrysler Newport Royal
12.37973985	3	1147.09	97	1056.86936	8.388531945	72	Japan	Mazda Rx2 Coupe
15.68100381	8	4981.648	150	1765.380064	7.767159208	72	U.S.	Amc Matador (Sw)
18.09346593	8	5030.809	130	1858.820016	8.699218313	72	U.S.	Chevrolet Chevelle Concours (Sw)
18.09346593	8	4948.874	140	1947.724048	9.941963786	72	U.S.	Ford Gran Torino (Sw)
16.80107551	8	5211.066	150	1849.294584	8.699218313	72	U.S.	Plymouth Satellite Custom (Sw)
13.06750317	4	1982.827	112	1330.385336	9.009904681	72	Europe	Volvo 145E (Sw)
10.6915935	4	1982.827	76	1138.969512	11.18470926	72	Europe	Volkswagen 411 (Sw)
11.200717	4	1966.44	87	1351.250568	12.11676836	72	Europe	Peugeot 504 (Sw)
9.046732966	4	1573.152	69	992.912888	11.18470926	72	Europe	Renault 12 (Sw)
10.6915935	4	1999.214	86	1086.35284	9.941963786	72	U.S.	Ford Pinto (Sw)
8.400537754	4	1589.539	92	1037.818496	10.56333652	72	Japan	Datsun 510 (Sw)
10.22674161	4	1966.44	97	1136.701552	9.009904681	72	Japan	Toyouta Corona Mark Ii (Sw)
8.400537754	4	1605.926	80	981.573088	9.32059105	72	U.S.	Dodge Colt (Sw)
8.711668782	4	1589.539	88	952.5432	10.25265015	72	Japan	Toyota Corolla 1600 (Sw)
18.09346593	8	5735.45	175	1859.7272	8.077845576	73	U.S.	Buick Century 350
16.80107551	8	4981.648	150	1665.589824	7.145786471	73	U.S.	Amc Matador
18.09346593	8	5735.45	145	1808.924896	8.077845576	73	U.S.	Chevrolet Malibu
16.80107551	8	4948.874	137	1833.418864	9.009904681	73	U.S.	Ford Gran Torino
15.68100381	8	5211.066	150	1713.216984	7.767159208	73	U.S.	Dodge Coronet Custom
19.60125476	8	7030.023	198	2246.187584	7.145786471	73	U.S.	Mercury Marquis Brougham
18.09346593	8	6554.8	150	2024.834688	7.45647284	73	U.S.	Chevrolet Caprice Classic
18.09346593	8	5751.837	158	1979.021896	8.077845576	73	U.S.	Ford Ltd
16.80107551	8	5211.066	150	1921.869304	9.009904681	73	U.S.	Plymouth Fury Gran Sedan
18.09346593	8	7210.28	215	2147.75812	6.835100103	73	U.S.	Chrysler New Yorker Brougham
19.60125476	8	7456.085	225	2245.733992	6.835100103	73	U.S.	Buick Electra 225 Custom
18.09346593	8	5899.32	175	1733.175032	6.835100103	73	U.S.	Amc Ambassador Brougham
13.06750317	6	3687.075	105	1415.660632	10.25265015	73	U.S.	Plymouth Valiant
14.70094107	6	4096.75	100	1486.874576	11.18470926	73	U.S.	Chevrolet Nova Custom
13.06750317	6	3801.784	100	1335.82844	9.941963786	73	U.S.	Amc Hornet
13.06750317	6	4096.75	88	1370.301432	10.25265015	73	U.S.	Ford Maverick
10.22674161	6	3244.626	95	1317.231168	9.941963786	73	U.S.	Plymouth Duster
9.046732966	4	1589.539	46	884.5044	13.04882747	73	Europe	Volkswagen Super Beetle
21.38318701	8	6554.8	150	2266.599224	8.699218313	73	U.S.	Chevrolet Impala
19.60125476	8	6554.8	167	2225.322352	7.767159208	73	U.S.	Ford Country
18.09346593	8	5899.32	170	2111.017168	8.077845576	73	U.S.	Plymouth Custom Suburb
19.60125476	8	5735.45	180	2040.710408	7.767159208	73	U.S.	Oldsmobile Vista Cruiser
13.06750317	6	3801.784	100	1265.068088	9.32059105	73	U.S.	Amc Gremlin
11.76075286	4	1589.539	88	1033.736168	11.806082	73	Japan	Toyota Carina
11.200717	4	2294.18	72	1089.074392	12.11676836	73	U.S.	Chevrolet Vega
10.6915935	4	1769.796	94	1079.095368	10.25265015	73	Japan	Datsun 610
13.06750317	3	1147.09	90	963.429408	8.388531945	73	Japan	Maxda Rx3
12.37973985	4	1999.214	85	1047.79752	11.49539563	73	U.S.	Ford Pinto
11.200717	6	2539.985	107	1121.279424	8.699218313	73	U.S.	Mercury Capri V6
9.046732966	4	1605.926	90	1027.38588	9.631277418	73	Europe	Fiat 124 Sport Coupe
15.68100381	8	5735.45	145	1851.562544	8.077845576	73	U.S.	Chevrolet Monte Carlo S
14.70094107	8	6554.8	230	1940.466576	5.903040998	73	U.S.	Pontiac Grand Prix
8.110864038	4	1114.316	49	846.856264	12.11676836	73	Europe	Fiat 128
9.800627379	4	1900.892	75	978.851536	9.631277418	73	Europe	Opel Manta
11.76075286	4	1868.118	91	1171.174544	8.699218313	73	Europe	Audi 100Ls
12.37973985	4	1982.827	112	1300.901856	9.631277418	73	Europe	Volvo 144Ea
15.68100381	8	5211.066	150	1541.759208	6.835100103	73	U.S.	Dodge Dart Custom
9.800627379	4	1982.827	110	1206.55472	8.699218313	73	Europe	Saab 99Le
11.76075286	6	2556.372	122	1273.232744	8.388531945	73	Japan	Toyota Mark Ii
21.38318701	8	5735.45	180	1661.961088	6.835100103	73	U.S.	Oldsmobile Omega
11.76075286	6	3244.626	95	1407.042384	10.25265015	74	U.S.	Plymouth Duster
11.200717	6	3277.4		1304.077	10.56333652	74	U.S.	Ford Maverick
12.37973985	6	3801.784	100	1315.870392	9.941963786	74	U.S.	Amc Hornet
15.68100381	6	4096.75	100	1513.182912	10.56333652	74	U.S.	Chevrolet Nova
7.587582487	4	1294.573	67	884.5044	11.806082	74	Japan	Datsun B210
9.046732966	4	1999.214	80	1111.753992	10.25265015	74	U.S.	Ford Pinto
7.350470535	4	1163.477	65	832.794912	13.04882747	74	Japan	Toyota Corolla 1200
9.408602284	4	2294.18	75	1153.030864	10.56333652	74	U.S.	Chevrolet Vega
14.70094107	6	4096.75	100	1715.031352	10.56333652	74	U.S.	Chevrolet Chevelle Malibu Classic
14.70094107	6	4227.846	110	1647.446144	11.18470926	74	U.S.	Amc Matador
13.06750317	6	3687.075	105	1638.827896	10.25265015	74	U.S.	Plymouth Satellite Sebring
14.70094107	8	4948.874	140	1878.324472	8.699218313	74	U.S.	Ford Gran Torino
18.09346593	8	5735.45	150	2131.428808	9.009904681	74	U.S.	Buick Century Luxus (Sw)
16.80107551	8	5211.066	150	2021.659544	8.388531945	74	U.S.	Dodge Coronet Custom (Sw)
16.80107551	8	4948.874	140	2103.759696	9.941963786	74	U.S.	Ford Gran Torino (Sw)
16.80107551	8	4981.648	150	1930.941144	9.631277418	74	U.S.	Amc Matador (Sw)
8.110864038	4	1605.926	83	1006.520648	10.25265015	74	Europe	Audi Fox
9.046732966	4	1294.573	67	890.401096	9.631277418	74	Europe	Volkswagen Dasher
9.046732966	4	1589.539	78	1043.2616	9.009904681	74	Europe	Opel Manta
7.587582487	4	1245.412	52	747.973208	10.25265015	74	Japan	Toyota Corona
7.350470535	4	1360.121	61	908.544776	11.806082	74	Japan	Datsun 710
8.400537754	4	1474.83	75	963.883	9.009904681	74	U.S.	Dodge Colt
9.800627379	4	1474.83	75	956.171936	9.631277418	74	Europe	Fiat 128
9.046732966	4	1900.892	75	1018.767632	8.699218313	74	Europe	Fiat 124 Tc
9.800627379	4	1966.44	97	1128.990488	9.32059105	74	Japan	Honda Civic
9.046732966	4	1769.796	93	1084.538472	9.631277418	74	Japan	Subaru
7.587582487	4	1294.573	67	907.184	9.941963786	74	Europe	Fiat X1.9
12.37973985	6	3687.075	95	1480.524288	9.941963786	75	U.S.	Plymouth Valiant Custom
13.06750317	6	4096.75	105	1568.974728	9.941963786	75	U.S.	Chevrolet Nova
15.68100381	6	4096.75	72	1556.727744	13.04882747	75	U.S.	Mercury Monarch
15.68100381	6	4096.75	72	1432.443536	12.11676836	75	U.S.	Ford Maverick
14.70094107	8	6554.8	170	2117.367456	7.145786471	75	U.S.	Pontiac Catalina
15.68100381	8	5735.45	145	2013.94848	8.699218313	75	U.S.	Chevrolet Bel Air
14.70094107	8	5211.066	150	2040.256816	9.009904681	75	U.S.	Plymouth Grand Fury
16.80107551	8	5751.837	148	2112.377944	8.388531945	75	U.S.	Ford Ltd
13.83617983	6	3785.397	110	1772.183944	13.04882747	75	U.S.	Buick Century
14.70094107	6	4096.75	105	1767.648024	11.49539563	75	U.S.	Chevroelt Chevelle Malibu
15.68100381	6	4227.846	110	1691.89816	11.806082	75	U.S.	Amc Matador
13.06750317	6	3687.075	95	1716.84572	11.806082	75	U.S.	Plymouth Fury
11.200717	6	3785.397	110	1378.466088	9.32059105	75	U.S.	Buick Skyhawk
11.76075286	8	4293.394	110	1461.019832	8.388531945	75	U.S.	Chevrolet Monza 2+2
18.09346593	8	4948.874	129	1437.433048	7.45647284	75	U.S.	Ford Mustang Ii
8.110864038	4	1589.539	75	984.748232	9.941963786	75	Japan	Toyota Corolla
10.22674161	4	2294.18	83	1197.029288	10.56333652	75	U.S.	Ford Pinto
11.76075286	6	3801.784	100	1321.767088	9.941963786	75	U.S.	Amc Gremlin
10.22674161	4	2294.18	78	1175.710464	11.49539563	75	U.S.	Pontiac Astro
9.800627379	4	2195.858	96	1225.605584	8.388531945	75	Japan	Toyota Corona
9.408602284	4	1474.83	71	1008.335016	10.25265015	75	Europe	Volkswagen Dasher
9.800627379	4	1950.053	97	1154.39164	10.56333652	75	Japan	Datsun 710
13.06750317	6	2802.177	97	1353.518528	9.009904681	75	U.S.	Ford Pinto
8.110864038	4	1474.83	70	878.607704	8.699218313	75	Europe	Volkswagen Rabbit
12.37973985	6	3801.784	90	1456.483912	10.56333652	75	U.S.	Amc Pacer
10.22674161	4	1884.505	95	1221.976848	9.32059105	75	Europe	Audi 100Ls
10.22674161	4	1966.44	88	1341.271544	10.56333652	75	Europe	Peugeot 504
10.6915935	4	1982.827	98	1335.82844	9.009904681	75	Europe	Volvo 244Dl
9.408602284	4	1982.827	115	1211.544232	8.388531945	75	Europe	Saab 99Le
7.127729003	4	1491.217	53	814.19764	10.87402289	75	Japan	Honda Civic Cvcc
8.400537754	4	1753.409	86	1117.650688	9.631277418	76	Europe	Fiat 131
9.408602284	4	1900.892	81	1006.97424	10.50119925	76	Europe	Opel 1900
9.408602284	4	2294.18	92	1166.638624	9.258453776	76	U.S.	Capri Ii
9.046732966	4	1605.926	79	1022.84996	10.99829744	76	U.S.	Dodge Colt
8.711668782	4	1655.087	83	998.809584	9.507002871	76	Europe	Renault 12Tl
13.44086041	8	4998.035	140	1911.89028	8.077845576	76	U.S.	Chevrolet Chevelle Malibu Classic
14.70094107	8	5211.066	150	1900.55048	8.077845576	76	U.S.	Dodge Coronet Brougham
15.17516497	8	4981.648	120	1797.131504	8.637081039	76	U.S.	Amc Matador
16.22172808	8	5751.837	152	1911.89028	7.953571029	76	U.S.	Ford Gran Torino
10.6915935	6	3687.075	100	1466.462936	9.569140144	76	U.S.	Plymouth Valiant
10.6915935	6	4096.75	105	1520.893976	9.009904681	76	U.S.	Chevrolet Nova
9.800627379	6	3277.4	81	1366.219104	10.93616017	76	U.S.	Ford Maverick
10.45400254	6	3801.784	90	1399.33132	10.93616017	76	U.S.	Amc Hornet
8.110864038	4	1392.895	52	923.05972	13.79447475	76	U.S.	Chevrolet Chevette
9.600614576	4	1605.926	60	981.573088	13.73233748	76	U.S.	Chevrolet Woody
8.110864038	4	1474.83	70	878.607704	8.82349286	76	Europe	Vw Rabbit
7.127729003	4	1491.217	53	814.19764	10.81188562	76	Japan	Honda Civic
11.76075286	6	3687.075	100	1656.064392	10.99829744	76	U.S.	Dodge Aspen Se
13.06750317	6	4096.75	78	1621.137808	13.04882747	76	U.S.	Ford Granada Ghia
12.71432741	6	4096.75	110	1653.34284	10.06623833	76	U.S.	Pontiac Ventura Sj
13.44086041	6	4227.846	95	1448.319256	11.06043471	76	U.S.	Amc Pacer D/L
7.973391766	4	1589.539	71	827.8054	7.580747387	76	Europe	Volkswagen Rabbit
7.350470535	4	1392.895	70	902.64808	10.56333652	76	Japan	Datsun B-210
8.400537754	4	1589.539	75	977.49076	10.19051288	76	Japan	Toyota Corolla
8.876039891	4	2294.18	72	1163.46348	8.450669218	76	U.S.	Ford Pinto
11.76075286	4	2130.31	102	1428.8148	9.755551965	76	Europe	Volvo 245
18.09346593	8	5211.066	150	1787.15248	8.202120124	76	U.S.	Plymouth Volare Premier V8
12.37973985	4	1966.44	88	1483.24584	13.60806293	76	Europe	Peugeot 504
12.37973985	6	2556.372	108	1329.02456	9.631277418	76	Japan	Toyota Mark Ii
14.25545801	6	2753.016	120	1732.72144	10.3769247	76	Europe	Mercedes-Benz 280S
14.25545801	8	5735.45	180	1986.73296	7.518610113	76	U.S.	Cadillac Seville
18.09346593	8	5735.45	145	1839.31556	7.45647284	76	U.S.	Chevy C10
18.09346593	8	4948.874	130	1755.40104	9.32059105	76	U.S.	Ford F108
18.09346593	8	5211.066	150	1703.23796	8.699218313	76	U.S.	Dodge D100
7.46714467	4	1605.926	68	927.59564	11.49539563	77	Japan	Honda Accord Cvcc
7.840501903	4	1818.957	80	977.49076	9.196316502	77	U.S.	Buick Opel Isuzu Deluxe
6.533751586	4	1294.573	58	827.8054	11.5575329	77	Europe	Renault 5 Gtl
9.224119886	4	1999.214	96	1043.2616	9.631277418	77	U.S.	Plymouth Arrow Gs
7.021344988	4	1392.895	70	882.23644	10.43906198	77	Japan	Datsun F-10 Hatchback
13.44086041	8	4998.035	145	1759.93696	7.767159208	77	U.S.	Chevrolet Caprice Classic
13.83617983	8	4260.62	110	1841.58352	11.806082	77	U.S.	Oldsmobile Cutlass Supreme
15.17516497	8	5211.066	145	1877.87088	8.512806492	77	U.S.	Dodge Monaco Brougham
15.68100381	8	4948.874	130	1948.17764	9.258453776	77	U.S.	Mercury Cougar Brougham
13.44086041	6	4096.75	110	1596.64384	10.19051288	77	U.S.	Chevrolet Concours
11.47390522	6	3785.397	105	1553.5526	10.50119925	77	U.S.	Buick Skylark
12.37973985	6	3687.075	100	1646.53896	10.99829744	77	U.S.	Plymouth Volare Custom
12.71432741	6	4096.75	98	1598.9118	11.806082	77	U.S.	Ford Granada
14.70094107	8	6554.8	180	1914.15824	6.897237377	77	U.S.	Pontiac Grand Prix Lj
15.17516497	8	5735.45	170	1889.21068	7.083649198	77	U.S.	Chevrolet Monte Carlo Landau
15.17516497	8	6554.8	190	1961.7854	7.580747387	77	U.S.	Chrysler Cordoba
14.70094107	8	5751.837	149	1966.32132	9.009904681	77	U.S.	Ford Thunderbird
8.110864038	4	1589.539	78	879.96848	9.009904681	77	Europe	Volkswagen Rabbit Custom
9.600614576	4	2474.437	88	1242.84208	9.941963786	77	U.S.	Pontiac Sunbird Coupe
9.046732966	4	1589.539	75	1027.38588	11.30898381	77	Japan	Toyota Corolla Liftback
9.224119886	4	2294.18	89	1249.64596	9.817689239	77	U.S.	Ford Mustang Ii 2+2
7.711969085	4	1605.926	63	930.317192	10.56333652	77	U.S.	Chevrolet Chevette
7.021344988	4	1605.926	83	941.2034	9.879826513	77	U.S.	Dodge Colt M/M
7.840501903	4	1589.539	67	900.38012	10.19051288	77	Japan	Subaru Dl
7.711969085	4	1589.539	78	993.36648	8.761355587	77	Europe	Volkswagen Dasher
10.6915935	6	2392.502	97	1276.86148	9.009904681	77	Japan	Datsun 810
10.94023521	4	1982.827	110	1179.3392	7.953571029	77	Europe	Bmw 320I
10.94023521	3	1310.96	110	1233.77024	8.388531945	77	Japan	Mazda Rx-4
5.457425919	4	1474.83	48	900.38012	13.35951384	78	Europe	Volkswagen Rabbit Custom Diesel
6.515652551	4	1605.926	66	816.4656	8.947767408	78	U.S.	Ford Fiesta
7.171190765	4	1278.186	52	900.38012	12.05463109	78	Japan	Mazda Glc Deluxe
5.969925307	4	1392.895	70	938.93544	11.5575329	78	Japan	Datsun B210 Gx
6.515652551	4	1491.217	60	816.4656	10.19051288	78	Japan	Honda Civic Cvcc
11.81985212	8	4260.62	110	1526.33708	9.631277418	78	U.S.	Oldsmobile Cutlass Salon Brougham
12.12448748	8	5211.066	140	1694.16612	8.202120124	78	U.S.	Dodge Diplomat
11.64430976	8	4948.874	139	1619.32344	7.953571029	78	U.S.	Mercury Monarch Ghia
12.25078422	6	3785.397	105	1603.44772	11.93035654	78	U.S.	Pontiac Phoenix Lj
11.47390522	6	3277.4	95	1431.08276	11.30898381	78	U.S.	Chevrolet Malibu
11.64430976	6	3277.4	85	1344.90028	9.817689239	78	U.S.	Ford Fairmont (Auto)
9.371117813	4	2294.18	88	1233.77024	9.569140144	78	U.S.	Ford Fairmont (Man)
11.47390522	6	3687.075	100	1555.82056	10.68761107	78	U.S.	Plymouth Volare
12.12448748	6	3801.784	90	1456.03032	10.68761107	78	U.S.	Amc Concord
11.41820666	6	3785.397	105	1533.14096	9.817689239	78	U.S.	Buick Century Special
11.30841621	6	3277.4	85	1392.52744	10.3769247	78	U.S.	Mercury Zephyr
12.64597081	6	3687.075	110	1642.00304	11.61967018	78	U.S.	Dodge Aspen
12.99530702	6	4227.846	120	1546.74872	9.382728323	78	U.S.	Amc Concord D/L
12.25078422	8	4998.035	145	1553.5526	8.202120124	78	U.S.	Chevrolet Monte Carlo Landau
13.28898628	6	3785.397	165	1562.62444	8.326394671	78	U.S.	Buick Regal Sport Coupe (Turbo)
12.99530702	8	4948.874	139	1453.76236	6.95937465	78	U.S.	Ford Futura
13.44086041	8	5211.066	140	1850.65536	8.512806492	78	U.S.	Dodge Magnum Xe
7.840501903	4	1605.926	68	977.49076	10.25265015	78	U.S.	Chevrolet Chevette
8.553274804	4	2195.858	95	1161.19552	8.82349286	78	Japan	Toyota Corona
8.647612394	4	1950.053	97	1043.2616	9.134179229	78	Japan	Datsun 510
7.61213777	4	1720.635	75	1011.51016	9.009904681	78	U.S.	Dodge Omni
11.14763304	4	2195.858	95	1140.78388	9.196316502	78	Japan	Toyota Celica Gt Liftback
10.13858005	4	2556.372	105	1245.11004	10.3769247	78	U.S.	Plymouth Sapporo
9.882985593	4	2474.437	85	1295.00516	10.93616017	78	U.S.	Oldsmobile Starfire Sx
9.841634188	4	1950.053	97	1090.88876	9.258453776	78	Japan	Datsun 200-Sx
11.58694863	5	2146.697	103	1283.66536	9.879826513	78	Europe	Audi 5000
13.83617983	6	2671.081	125	1424.27888	8.450669218	78	Europe	Volvo 264Gl
10.88958598	4	1982.827	115	1267.78964	9.755551965	78	Europe	Saab 99Gle
14.51944797	6	2671.081	133	1546.74872	9.817689239	78	Europe	Peugeot 604Sl
7.46714467	4	1458.443	71	902.64808	9.258453776	78	Europe	Volkswagen Scirocco
7.973391766	4	1605.926	68	968.41892	10.31478743	78	Japan	Honda Accord Lx
10.94023521	6	3785.397	115	1471.90604	9.569140144	79	U.S.	Pontiac Lemans V6
11.87954834	6	3277.4	85	1356.24008	11.30898381	79	U.S.	Mercury Zephyr 6
10.54776041	4	2294.18	88	1310.88088	10.74974834	79	U.S.	Ford Fairmont 4
11.64430976	6	3801.784	90	1480.97788	11.30898381	79	U.S.	Amc Concord Dl 6
11.41820666	6	3687.075	110	1524.06912	10.31478743	79	U.S.	Dodge Aspen 6
13.83617983	8	4998.035	130	1741.79328	9.569140144	79	U.S.	Chevrolet Caprice Classic
13.36449188	8	4948.874	129	1689.6302	8.326394671	79	U.S.	Ford Ltd Landau
14.25545801	8	5751.837	138	1793.95636	8.202120124	79	U.S.	Mercury Grand Marquis
12.92390424	8	5211.066	135	1737.25736	9.444865597	79	U.S.	Dodge St. Regis
13.91805072	8	5735.45	155	1977.66112	9.258453776	79	U.S.	Buick Estate Wagon (Sw)
15.17516497	8	5751.837	142	1838.861968	8.885630134	79	U.S.	Ford Country Squire (Sw)
12.25078422	8	4375.329	125	1635.19916	9.32059105	79	U.S.	Chevrolet Malibu Classic (Sw)
12.71432741	8	5899.32	150	1787.15248	8.077845576	79	U.S.	Chrysler Lebaron Town @ Country (Sw)
7.373512762	4	1458.443	71	873.1646	8.699218313	79	Europe	Vw Rabbit Custom
6.897802261	4	1409.282	65	895.8442	9.444865597	79	Japan	Maxda Glc Deluxe
6.588657062	4	1605.926	80	868.62868	8.947767408	79	U.S.	Dodge Colt Hatchback Custom
8.584491135	4	1982.827	80	1211.09064	9.32059105	79	U.S.	Amc Spirit Dl
9.260435319	5	2998.821	77	1601.17976	12.48959201	79	Europe	Mercedes Benz 300D
10.22674161	8	5735.45	125	1769.0088	10.81188562	79	U.S.	Cadillac Eldorado
8.647612394	4	2310.567	71	1446.95848	15.41004387	79	Europe	Peugeot 504
9.841634188	8	4260.62	90	1551.28464	13.79447475	79	U.S.	Oldsmobile Cutlass Salon Brougham
6.877633249	4	1720.635	70	997.9024	8.202120124	79	U.S.	Plymouth Horizon
6.817827742	4	1720.635	70	975.2228	9.258453776	79	U.S.	Plymouth Horizon Tc3
7.396699909	4	1392.895	65	916.25584	11.93035654	79	Japan	Datsun 210
6.306033703	4	1491.217	69	966.15096	9.134179229	79	Europe	Fiat Strada Custom
8.282220321	4	2474.437	90	1211.09064	9.941963786	79	U.S.	Buick Skylark Limited
8.167189483	6	2834.951	115	1177.07124	7.021511924	79	U.S.	Chevrolet Citation
8.776681235	6	2834.951	115	1224.6984	8.015708303	79	U.S.	Oldsmobile Omega Brougham
7.021344988	4	2474.437	90	1159.381152	8.202120124	79	U.S.	Pontiac Phoenix
5.667832701	4	1605.926	76	972.501248	9.134179229	80	Europe	Vw Rabbit
6.173623546	4	1458.443	60	892.669056	11.68180745	80	Japan	Toyota Corolla Tercel
7.327571872	4	1605.926	70	961.61504	9.631277418	80	U.S.	Chevrolet Chevette
6.322985406	4	1409.282	65	915.802248	10.19051288	80	Japan	Datsun 310
