year,age,gender,educational_attainment_4_groups,population
1996,15,Male,Primary,245803
1996,15,Male,Secondary,960
1996,15,Male,Higher,24
1996,15,Male,Unspecified,9507
1996,15,Male,Not applicable,0
1996,15,Female,No schooling/less than primary,122635
1996,15,Female,Primary,303087
1996,15,Female,Secondary,1247
1996,15,Female,Higher,15
1996,15,Female,Unspecified,9230
1996,15,Female,Not applicable,0
1996,16,Male,No schooling/less than primary,134448
1996,16,Male,Primary,289898
1996,16,Male,Secondary,2798
1996,16,Male,Higher,57
1996,16,Male,Unspecified,9841
1996,16,Male,Not applicable,0
1996,16,Female,No schooling/less than primary,96632
1996,16,Female,Primary,342410
1996,16,Female,Secondary,3955
1996,16,Female,Higher,41
1996,16,Female,Unspecified,9377
1996,16,Female,Not applicable,0
1996,17,Male,No schooling/less than primary,90722
1996,17,Male,Primary,289091
1996,17,Male,Secondary,12467
1996,17,Male,Higher,678
1996,17,Male,Unspecified,8704
1996,17,Male,Not applicable,0
1996,17,Female,No schooling/less than primary,64238
1996,17,Female,Primary,323666
1996,17,Female,Secondary,18770
1996,17,Female,Higher,672
1996,17,Female,Unspecified,8263
1996,17,Female,Not applicable,0
1996,18,Male,No schooling/less than primary,76476
1996,18,Male,Primary,268379
1996,18,Male,Secondary,38772
1996,18,Male,Higher,1947
1996,18,Male,Unspecified,8935
1996,18,Male,Not applicable,0
1996,18,Female,No schooling/less than primary,58304
1996,18,Female,Primary,292193
1996,18,Female,Secondary,53112
1996,18,Female,Higher,2290
1996,18,Female,Unspecified,8565
1996,18,Female,Not applicable,0
1996,19,Male,No schooling/less than primary,70548
1996,19,Male,Primary,240429
1996,19,Male,Secondary,68298
1996,19,Male,Higher,4361
1996,19,Male,Unspecified,9402
1996,19,Male,Not applicable,0
1996,19,Female,No schooling/less than primary,55614
1996,19,Female,Primary,256739
1996,19,Female,Secondary,85058
1996,19,Female,Higher,5616
1996,19,Female,Unspecified,8773
1996,19,Female,Not applicable,0
1996,20,Male,No schooling/less than primary,70804
1996,20,Male,Primary,222573
1996,20,Male,Secondary,90862
1996,20,Male,Higher,7726
1996,20,Male,Unspecified,11038
1996,20,Male,Not applicable,0
1996,20,Female,No schooling/less than primary,61184
1996,20,Female,Primary,240611
1996,20,Female,Secondary,106814
1996,20,Female,Higher,9613
1996,20,Female,Unspecified,10417
1996,20,Female,Not applicable,0
1996,21,Male,No schooling/less than primary,69755
1996,21,Male,Primary,203237
1996,21,Male,Secondary,102094
1996,21,Male,Higher,11771
1996,21,Male,Unspecified,11722
1996,21,Male,Not applicable,0
1996,21,Female,No schooling/less than primary,62499
1996,21,Female,Primary,221125
1996,21,Female,Secondary,113932
1996,21,Female,Higher,14400
1996,21,Female,Unspecified,10683
1996,21,Female,Not applicable,0
1996,22,Male,No schooling/less than primary,68896
1996,22,Male,Primary,176969
1996,22,Male,Secondary,103464
1996,22,Male,Higher,16458
1996,22,Male,Unspecified,12034
1996,22,Male,Not applicable,0
1996,22,Female,No schooling/less than primary,64242
1996,22,Female,Primary,198460
1996,22,Female,Secondary,114211
1996,22,Female,Higher,20235
1996,22,Female,Unspecified,11132
1996,22,Female,Not applicable,0
1996,23,Male,No schooling/less than primary,68039
1996,23,Male,Primary,159735
1996,23,Male,Secondary,101217
1996,23,Male,Higher,20590
1996,23,Male,Unspecified,12579
1996,23,Male,Not applicable,0
1996,23,Female,No schooling/less than primary,66298
1996,23,Female,Primary,183889
1996,23,Female,Secondary,110114
1996,23,Female,Higher,24633
1996,23,Female,Unspecified,11346
1996,23,Female,Not applicable,0
1996,24,Male,No schooling/less than primary,75295
1996,24,Male,Primary,159472
1996,24,Male,Secondary,102446
1996,24,Male,Higher,25051
1996,24,Male,Unspecified,14092
1996,24,Male,Not applicable,0
1996,24,Female,No schooling/less than primary,74096
1996,24,Female,Primary,182983
1996,24,Female,Secondary,111302
1996,24,Female,Higher,28425
1996,24,Female,Unspecified,11791
1996,24,Female,Not applicable,0
1996,25,Male,No schooling/less than primary,68087
1996,25,Male,Primary,133386
1996,25,Male,Secondary,90082
1996,25,Male,Higher,26674
1996,25,Male,Unspecified,13376
1996,25,Male,Not applicable,0
1996,25,Female,No schooling/less than primary,66591
1996,25,Female,Primary,151613
1996,25,Female,Secondary,97701
1996,25,Female,Higher,28722
1996,25,Female,Unspecified,11013
1996,25,Female,Not applicable,0
1996,26,Male,No schooling/less than primary,82924
1996,26,Male,Primary,155209
1996,26,Male,Secondary,94190
1996,26,Male,Higher,29127
1996,26,Male,Unspecified,15442
1996,26,Male,Not applicable,0
1996,26,Female,No schooling/less than primary,81237
1996,26,Female,Primary,175223
1996,26,Female,Secondary,100490
1996,26,Female,Higher,30803
1996,26,Female,Unspecified,12392
1996,26,Female,Not applicable,0
1996,27,Male,No schooling/less than primary,74197
1996,27,Male,Primary,135857
1996,27,Male,Secondary,79469
1996,27,Male,Higher,28896
1996,27,Male,Unspecified,14024
1996,27,Male,Not applicable,0
1996,27,Female,No schooling/less than primary,76163
1996,27,Female,Primary,157738
1996,27,Female,Secondary,85918
1996,27,Female,Higher,29987
1996,27,Female,Unspecified,11291
1996,27,Female,Not applicable,0
1996,28,Male,No schooling/less than primary,80693
1996,28,Male,Primary,139312
1996,28,Male,Secondary,74534
1996,28,Male,Higher,29649
1996,28,Male,Unspecified,14797
1996,28,Male,Not applicable,0
1996,28,Female,No schooling/less than primary,85359
1996,28,Female,Primary,161700
1996,28,Female,Secondary,79845
1996,28,Female,Higher,30500
1996,28,Female,Unspecified,11590
1996,28,Female,Not applicable,0
1996,29,Male,No schooling/less than primary,65592
1996,29,Male,Primary,115917
1996,29,Male,Secondary,61097
1996,29,Male,Higher,28117
1996,29,Male,Unspecified,12418
1996,29,Male,Not applicable,0
1996,29,Female,No schooling/less than primary,69938
1996,29,Female,Primary,133836
1996,29,Female,Secondary,64807
1996,29,Female,Higher,28442
1996,29,Female,Unspecified,9766
1996,29,Female,Not applicable,0
1996,30,Male,No schooling/less than primary,83357
1996,30,Male,Primary,128159
1996,30,Male,Secondary,59866
1996,30,Male,Higher,29229
1996,30,Male,Unspecified,14368
1996,30,Male,Not applicable,0
1996,30,Female,No schooling/less than primary,96508
1996,30,Female,Primary,150881
1996,30,Female,Secondary,64236
1996,30,Female,Higher,29614
1996,30,Female,Unspecified,11801
1996,30,Female,Not applicable,0
1996,31,Male,No schooling/less than primary,76695
1996,31,Male,Primary,121907
1996,31,Male,Secondary,50553
1996,31,Male,Higher,26922
1996,31,Male,Unspecified,12842
1996,31,Male,Not applicable,0
1996,31,Female,No schooling/less than primary,84911
1996,31,Female,Primary,139097
1996,31,Female,Secondary,54052
1996,31,Female,Higher,26363
1996,31,Female,Unspecified,9984
1996,31,Female,Not applicable,0
1996,32,Male,No schooling/less than primary,83561
1996,32,Male,Primary,126782
1996,32,Male,Secondary,48443
1996,32,Male,Higher,27959
1996,32,Male,Unspecified,14033
1996,32,Male,Not applicable,0
1996,32,Female,No schooling/less than primary,98235
1996,32,Female,Primary,146821
1996,32,Female,Secondary,52138
1996,32,Female,Higher,26525
1996,32,Female,Unspecified,10633
1996,32,Female,Not applicable,0
1996,33,Male,No schooling/less than primary,80165
1996,33,Male,Primary,118528
1996,33,Male,Secondary,42287
1996,33,Male,Higher,26502
1996,33,Male,Unspecified,13203
1996,33,Male,Not applicable,0
1996,33,Female,No schooling/less than primary,93111
1996,33,Female,Primary,133528
1996,33,Female,Secondary,46031
1996,33,Female,Higher,24486
1996,33,Female,Unspecified,9704
1996,33,Female,Not applicable,0
1996,34,Male,No schooling/less than primary,82471
1996,34,Male,Primary,116369
1996,34,Male,Secondary,39891
1996,34,Male,Higher,26115
1996,34,Male,Unspecified,13294
1996,34,Male,Not applicable,0
1996,34,Female,No schooling/less than primary,96685
1996,34,Female,Primary,128640
1996,34,Female,Secondary,42933
1996,34,Female,Higher,24136
1996,34,Female,Unspecified,9648
1996,34,Female,Not applicable,0
1996,35,Male,No schooling/less than primary,80949
1996,35,Male,Primary,107204
1996,35,Male,Secondary,37572
1996,35,Male,Higher,25481
1996,35,Male,Unspecified,13091
1996,35,Male,Not applicable,0
1996,35,Female,No schooling/less than primary,92192
1996,35,Female,Primary,116931
1996,35,Female,Secondary,39152
1996,35,Female,Higher,23278
1996,35,Female,Unspecified,9581
1996,35,Female,Not applicable,0
1996,36,Male,No schooling/less than primary,92898
1996,36,Male,Primary,122700
1996,36,Male,Secondary,39607
1996,36,Male,Higher,26357
1996,36,Male,Unspecified,14392
1996,36,Male,Not applicable,0
1996,36,Female,No schooling/less than primary,106829
1996,36,Female,Primary,132272
1996,36,Female,Secondary,39225
1996,36,Female,Higher,24050
1996,36,Female,Unspecified,10383
1996,36,Female,Not applicable,0
1996,37,Male,No schooling/less than primary,74228
1996,37,Male,Primary,95486
1996,37,Male,Secondary,29785
1996,37,Male,Higher,22788
1996,37,Male,Unspecified,11718
1996,37,Male,Not applicable,0
1996,37,Female,No schooling/less than primary,89146
1996,37,Female,Primary,107623
1996,37,Female,Secondary,30048
1996,37,Female,Higher,21237
1996,37,Female,Unspecified,8438
1996,37,Female,Not applicable,0
1996,38,Male,No schooling/less than primary,89758
1996,38,Male,Primary,108410
1996,38,Male,Secondary,30185
1996,38,Male,Higher,22676
1996,38,Male,Unspecified,13360
1996,38,Male,Not applicable,0
1996,38,Female,No schooling/less than primary,106731
1996,38,Female,Primary,116490
1996,38,Female,Secondary,30090
1996,38,Female,Higher,21495
1996,38,Female,Unspecified,9659
1996,38,Female,Not applicable,0
1996,39,Male,No schooling/less than primary,76374
1996,39,Male,Primary,92954
1996,39,Male,Secondary,25311
1996,39,Male,Higher,20324
1996,39,Male,Unspecified,11349
1996,39,Male,Not applicable,0
1996,39,Female,No schooling/less than primary,85880
1996,39,Female,Primary,96415
1996,39,Female,Secondary,24967
1996,39,Female,Higher,18676
1996,39,Female,Unspecified,8014
1996,39,Female,Not applicable,0
1996,40,Male,No schooling/less than primary,89185
1996,40,Male,Primary,96069
1996,40,Male,Secondary,26291
1996,40,Male,Higher,20958
1996,40,Male,Unspecified,13144
1996,40,Male,Not applicable,0
1996,40,Female,No schooling/less than primary,105953
1996,40,Female,Primary,102356
1996,40,Female,Secondary,25729
1996,40,Female,Higher,19553
1996,40,Female,Unspecified,9767
1996,40,Female,Not applicable,0
1996,41,Male,No schooling/less than primary,69607
1996,41,Male,Primary,75037
1996,41,Male,Secondary,20006
1996,41,Male,Higher,17986
1996,41,Male,Unspecified,10164
1996,41,Male,Not applicable,0
1996,41,Female,No schooling/less than primary,82066
1996,41,Female,Primary,80972
1996,41,Female,Secondary,19968
1996,41,Female,Higher,15767
1996,41,Female,Unspecified,7381
1996,41,Female,Not applicable,0
1996,42,Male,No schooling/less than primary,78949
1996,42,Male,Primary,83155
1996,42,Male,Secondary,21174
1996,42,Male,Higher,17949
1996,42,Male,Unspecified,10847
1996,42,Male,Not applicable,0
1996,42,Female,No schooling/less than primary,93153
1996,42,Female,Primary,88928
1996,42,Female,Secondary,21095
1996,42,Female,Higher,15872
1996,42,Female,Unspecified,7966
1996,42,Female,Not applicable,0
1996,43,Male,No schooling/less than primary,70382
1996,43,Male,Primary,71521
1996,43,Male,Secondary,17615
1996,43,Male,Higher,16137
1996,43,Male,Unspecified,9639
1996,43,Male,Not applicable,0
1996,43,Female,No schooling/less than primary,85726
1996,43,Female,Primary,80116
1996,43,Female,Secondary,18822
1996,43,Female,Higher,13901
1996,43,Female,Unspecified,7305
1996,43,Female,Not applicable,0
1996,44,Male,No schooling/less than primary,79410
1996,44,Male,Primary,72935
1996,44,Male,Secondary,17148
1996,44,Male,Higher,15354
1996,44,Male,Unspecified,9934
1996,44,Male,Not applicable,0
1996,44,Female,No schooling/less than primary,90877
1996,44,Female,Primary,77253
1996,44,Female,Secondary,17572
1996,44,Female,Higher,12784
1996,44,Female,Unspecified,7148
1996,44,Female,Not applicable,0
1996,45,Male,No schooling/less than primary,69762
1996,45,Male,Primary,60909
1996,45,Male,Secondary,16486
1996,45,Male,Higher,14232
1996,45,Male,Unspecified,8884
1996,45,Male,Not applicable,0
1996,45,Female,No schooling/less than primary,77960
1996,45,Female,Primary,64064
1996,45,Female,Secondary,16840
1996,45,Female,Higher,11616
1996,45,Female,Unspecified,6791
1996,45,Female,Not applicable,0
1996,46,Male,No schooling/less than primary,78056
1996,46,Male,Primary,67216
1996,46,Male,Secondary,16388
1996,46,Male,Higher,14069
1996,46,Male,Unspecified,9780
1996,46,Male,Not applicable,0
1996,46,Female,No schooling/less than primary,91119
1996,46,Female,Primary,71638
1996,46,Female,Secondary,16579
1996,46,Female,Higher,11156
1996,46,Female,Unspecified,6982
1996,46,Female,Not applicable,0
1996,47,Male,No schooling/less than primary,63276
1996,47,Male,Primary,55138
1996,47,Male,Secondary,14201
1996,47,Male,Higher,12579
1996,47,Male,Unspecified,8104
1996,47,Male,Not applicable,0
1996,47,Female,No schooling/less than primary,72254
1996,47,Female,Primary,60410
1996,47,Female,Secondary,15033
1996,47,Female,Higher,10104
1996,47,Female,Unspecified,6033
1996,47,Female,Not applicable,0
1996,48,Male,No schooling/less than primary,67436
1996,48,Male,Primary,57635
1996,48,Male,Secondary,14675
1996,48,Male,Higher,12501
1996,48,Male,Unspecified,8423
1996,48,Male,Not applicable,0
1996,48,Female,No schooling/less than primary,78930
1996,48,Female,Primary,62727
1996,48,Female,Secondary,15572
1996,48,Female,Higher,10148
1996,48,Female,Unspecified,6596
1996,48,Female,Not applicable,0
1996,49,Male,No schooling/less than primary,59300
1996,49,Male,Primary,51393
1996,49,Male,Secondary,13648
1996,49,Male,Higher,11976
1996,49,Male,Unspecified,7747
1996,49,Male,Not applicable,0
1996,49,Female,No schooling/less than primary,67221
1996,49,Female,Primary,54539
1996,49,Female,Secondary,14482
1996,49,Female,Higher,9124
1996,49,Female,Unspecified,5789
1996,49,Female,Not applicable,0
1996,50,Male,No schooling/less than primary,61955
1996,50,Male,Primary,48801
1996,50,Male,Secondary,13409
1996,50,Male,Higher,11263
1996,50,Male,Unspecified,8045
1996,50,Male,Not applicable,0
1996,50,Female,No schooling/less than primary,74460
1996,50,Female,Primary,54637
1996,50,Female,Secondary,14103
1996,50,Female,Higher,9001
1996,50,Female,Unspecified,6499
1996,50,Female,Not applicable,0
1996,51,Male,No schooling/less than primary,47808
1996,51,Male,Primary,41033
1996,51,Male,Secondary,11368
1996,51,Male,Higher,9639
1996,51,Male,Unspecified,6354
1996,51,Male,Not applicable,0
1996,51,Female,No schooling/less than primary,58401
1996,51,Female,Primary,45693
1996,51,Female,Secondary,11733
1996,51,Female,Higher,7653
1996,51,Female,Unspecified,5051
1996,51,Female,Not applicable,0
1996,52,Male,No schooling/less than primary,49169
1996,52,Male,Primary,38734
1996,52,Male,Secondary,11219
1996,52,Male,Higher,9654
1996,52,Male,Unspecified,6436
1996,52,Male,Not applicable,0
1996,52,Female,No schooling/less than primary,59822
1996,52,Female,Primary,43255
1996,52,Female,Secondary,11412
1996,52,Female,Higher,7659
1996,52,Female,Unspecified,5090
1996,52,Female,Not applicable,0
1996,53,Male,No schooling/less than primary,44239
1996,53,Male,Primary,35114
1996,53,Male,Secondary,9866
1996,53,Male,Higher,8387
1996,53,Male,Unspecified,5665
1996,53,Male,Not applicable,0
1996,53,Female,No schooling/less than primary,55357
1996,53,Female,Primary,41679
1996,53,Female,Secondary,10158
1996,53,Female,Higher,6792
1996,53,Female,Unspecified,4701
1996,53,Female,Not applicable,0
1996,54,Male,No schooling/less than primary,58128
1996,54,Male,Primary,39753
1996,54,Male,Secondary,9809
1996,54,Male,Higher,8302
1996,54,Male,Unspecified,6327
1996,54,Male,Not applicable,0
1996,54,Female,No schooling/less than primary,69082
1996,54,Female,Primary,44747
1996,54,Female,Secondary,9799
1996,54,Female,Higher,6410
1996,54,Female,Unspecified,5225
1996,54,Female,Not applicable,0
1996,55,Male,No schooling/less than primary,47969
1996,55,Male,Primary,31217
1996,55,Male,Secondary,8920
1996,55,Male,Higher,7650
1996,55,Male,Unspecified,5553
1996,55,Male,Not applicable,0
1996,55,Female,No schooling/less than primary,57967
1996,55,Female,Primary,35682
1996,55,Female,Secondary,8850
1996,55,Female,Higher,5810
1996,55,Female,Unspecified,4731
1996,55,Female,Not applicable,0
1996,56,Male,No schooling/less than primary,65824
1996,56,Male,Primary,37911
1996,56,Male,Secondary,9232
1996,56,Male,Higher,7818
1996,56,Male,Unspecified,6462
1996,56,Male,Not applicable,0
1996,56,Female,No schooling/less than primary,90027
1996,56,Female,Primary,43753
1996,56,Female,Secondary,9127
1996,56,Female,Higher,5917
1996,56,Female,Unspecified,5871
1996,56,Female,Not applicable,0
1996,57,Male,No schooling/less than primary,40305
1996,57,Male,Primary,28432
1996,57,Male,Secondary,7574
1996,57,Male,Higher,6716
1996,57,Male,Unspecified,4828
1996,57,Male,Not applicable,0
1996,57,Female,No schooling/less than primary,56921
1996,57,Female,Primary,33821
1996,57,Female,Secondary,8091
1996,57,Female,Higher,5105
1996,57,Female,Unspecified,4330
1996,57,Female,Not applicable,0
1996,58,Male,No schooling/less than primary,41710
1996,58,Male,Primary,28624
1996,58,Male,Secondary,7508
1996,58,Male,Higher,6504
1996,58,Male,Unspecified,4737
1996,58,Male,Not applicable,0
1996,58,Female,No schooling/less than primary,58405
1996,58,Female,Primary,34806
1996,58,Female,Secondary,7955
1996,58,Female,Higher,4995
1996,58,Female,Unspecified,4501
1996,58,Female,Not applicable,0
1996,59,Male,No schooling/less than primary,36464
1996,59,Male,Primary,24965
1996,59,Male,Secondary,6725
1996,59,Male,Higher,5839
1996,59,Male,Unspecified,4193
1996,59,Male,Not applicable,0
1996,59,Female,No schooling/less than primary,52923
1996,59,Female,Primary,31290
1996,59,Female,Secondary,7124
1996,59,Female,Higher,4250
1996,59,Female,Unspecified,4009
1996,59,Female,Not applicable,0
1996,60,Male,No schooling/less than primary,48073
1996,60,Male,Primary,26752
1996,60,Male,Secondary,6919
1996,60,Male,Higher,5974
1996,60,Male,Unspecified,5060
1996,60,Male,Not applicable,0
1996,60,Female,No schooling/less than primary,85572
1996,60,Female,Primary,35542
1996,60,Female,Secondary,7793
1996,60,Female,Higher,4578
1996,60,Female,Unspecified,5229
1996,60,Female,Not applicable,0
1996,61,Male,No schooling/less than primary,30340
1996,61,Male,Primary,20481
1996,61,Male,Secondary,5723
1996,61,Male,Higher,4959
1996,61,Male,Unspecified,3372
1996,61,Male,Not applicable,0
1996,61,Female,No schooling/less than primary,55286
1996,61,Female,Primary,28075
1996,61,Female,Secondary,6468
1996,61,Female,Higher,3672
1996,61,Female,Unspecified,3785
1996,61,Female,Not applicable,0
1996,62,Male,No schooling/less than primary,29915
1996,62,Male,Primary,19120
1996,62,Male,Secondary,5352
1996,62,Male,Higher,4620
1996,62,Male,Unspecified,3288
1996,62,Male,Not applicable,0
1996,62,Female,No schooling/less than primary,60972
1996,62,Female,Primary,27499
1996,62,Female,Secondary,6215
1996,62,Female,Higher,3366
1996,62,Female,Unspecified,3907
1996,62,Female,Not applicable,0
1996,63,Male,No schooling/less than primary,34127
1996,63,Male,Primary,18720
1996,63,Male,Secondary,5201
1996,63,Male,Higher,4305
1996,63,Male,Unspecified,3375
1996,63,Male,Not applicable,0
1996,63,Female,No schooling/less than primary,63465
1996,63,Female,Primary,26596
1996,63,Female,Secondary,5899
1996,63,Female,Higher,3148
1996,63,Female,Unspecified,3906
1996,63,Female,Not applicable,0
1996,64,Male,No schooling/less than primary,34098
1996,64,Male,Primary,19497
1996,64,Male,Secondary,5151
1996,64,Male,Higher,4329
1996,64,Male,Unspecified,3301
1996,64,Male,Not applicable,0
1996,64,Female,No schooling/less than primary,58334
1996,64,Female,Primary,26588
1996,64,Female,Secondary,5851
1996,64,Female,Higher,2926
1996,64,Female,Unspecified,3809
1996,64,Female,Not applicable,0
1996,65,Male,No schooling/less than primary,37716
1996,65,Male,Primary,18604
1996,65,Male,Secondary,5306
1996,65,Male,Higher,4102
1996,65,Male,Unspecified,3598
1996,65,Male,Not applicable,0
1996,65,Female,No schooling/less than primary,61534
1996,65,Female,Primary,23828
1996,65,Female,Secondary,6220
1996,65,Female,Higher,2953
1996,65,Female,Unspecified,3976
1996,65,Female,Not applicable,0
1996,66,Male,No schooling/less than primary,43067
1996,66,Male,Primary,17930
1996,66,Male,Secondary,4996
1996,66,Male,Higher,3824
1996,66,Male,Unspecified,3515
1996,66,Male,Not applicable,0
1996,66,Female,No schooling/less than primary,80344
1996,66,Female,Primary,24234
1996,66,Female,Secondary,5834
1996,66,Female,Higher,2943
1996,66,Female,Unspecified,4470
1996,66,Female,Not applicable,0
1996,67,Male,No schooling/less than primary,33356
1996,67,Male,Primary,14774
1996,67,Male,Secondary,4586
1996,67,Male,Higher,3572
1996,67,Male,Unspecified,2824
1996,67,Male,Not applicable,0
1996,67,Female,No schooling/less than primary,56306
1996,67,Female,Primary,20217
1996,67,Female,Secondary,5312
1996,67,Female,Higher,2507
1996,67,Female,Unspecified,3692
1996,67,Female,Not applicable,0
1996,68,Male,No schooling/less than primary,30748
1996,68,Male,Primary,14070
1996,68,Male,Secondary,4135
1996,68,Male,Higher,3259
1996,68,Male,Unspecified,2807
1996,68,Male,Not applicable,0
1996,68,Female,No schooling/less than primary,50996
1996,68,Female,Primary,19516
1996,68,Female,Secondary,5420
1996,68,Female,Higher,2387
1996,68,Female,Unspecified,3497
1996,68,Female,Not applicable,0
1996,69,Male,No schooling/less than primary,25905
1996,69,Male,Primary,12069
1996,69,Male,Secondary,3907
1996,69,Male,Higher,2904
1996,69,Male,Unspecified,2439
1996,69,Male,Not applicable,0
1996,69,Female,No schooling/less than primary,41223
1996,69,Female,Primary,17224
1996,69,Female,Secondary,4955
1996,69,Female,Higher,2266
1996,69,Female,Unspecified,3019
1996,69,Female,Not applicable,0
1996,70,Male,No schooling/less than primary,31586
1996,70,Male,Primary,11906
