year,age,population_group,educational_attainment_4_groups,population
1996,3,White,No schooling/less than primary,0
1996,3,White,Primary,0
1996,3,White,Secondary,0
1996,3,White,Higher,0
1996,3,White,Under 5,54134
1996,4,Black African,No schooling/less than primary,0
1996,4,Black African,Primary,0
1996,4,Black African,Secondary,0
1996,4,Black African,Higher,0
1996,4,Black African,Under 5,769175
1996,4,Coloured,No schooling/less than primary,0
1996,4,Coloured,Primary,0
1996,4,Coloured,Secondary,0
1996,4,Coloured,Higher,0
1996,4,Coloured,Under 5,80092
1996,4,Indian or Asian,No schooling/less than primary,0
1996,4,Indian or Asian,Primary,0
1996,4,Indian or Asian,Secondary,0
1996,4,Indian or Asian,Higher,0
1996,4,Indian or Asian,Under 5,18237
1996,4,White,No schooling/less than primary,0
1996,4,White,Primary,0
1996,4,White,Secondary,0
1996,4,White,Higher,0
1996,4,White,Under 5,57616
1996,5,Black African,No schooling/less than primary,732509
1996,5,Black African,Primary,0
1996,5,Black African,Secondary,0
1996,5,Black African,Higher,13
1996,5,Coloured,No schooling/less than primary,74009
1996,5,Coloured,Primary,0
1996,5,Coloured,Secondary,0
1996,5,Coloured,Higher,2
1996,5,Indian or Asian,No schooling/less than primary,16593
1996,5,Indian or Asian,Primary,0
1996,5,Indian or Asian,Secondary,0
1996,5,Indian or Asian,Higher,0
1996,5,White,No schooling/less than primary,49962
1996,5,White,Primary,0
1996,5,White,Secondary,0
1996,5,White,Higher,5
1996,6,Black African,No schooling/less than primary,769579
1996,6,Black African,Primary,0
1996,6,Black African,Secondary,0
1996,6,Black African,Higher,4
1996,6,Coloured,No schooling/less than primary,78250
1996,6,Coloured,Primary,0
1996,6,Coloured,Secondary,0
1996,6,Coloured,Higher,1
1996,6,Indian or Asian,No schooling/less than primary,17757
1996,6,Indian or Asian,Primary,0
1996,6,Indian or Asian,Secondary,0
1996,6,Indian or Asian,Higher,0
1996,6,White,No schooling/less than primary,54069
1996,6,White,Primary,0
1996,6,White,Secondary,0
1996,6,White,Higher,7
1996,7,Black African,No schooling/less than primary,726738
1996,7,Black African,Primary,0
1996,7,Black African,Secondary,0
1996,7,Black African,Higher,8
1996,7,Coloured,No schooling/less than primary,76614
1996,7,Coloured,Primary,0
1996,7,Coloured,Secondary,0
1996,7,Coloured,Higher,1
1996,7,Indian or Asian,No schooling/less than primary,17992
1996,7,Indian or Asian,Primary,0
1996,7,Indian or Asian,Secondary,0
1996,7,Indian or Asian,Higher,1
1996,7,White,No schooling/less than primary,55393
1996,7,White,Primary,0
1996,7,White,Secondary,0
1996,7,White,Higher,10
1996,8,Black African,No schooling/less than primary,706865
1996,8,Black African,Primary,2362
1996,8,Black African,Secondary,0
1996,8,Black African,Higher,9
1996,8,Coloured,No schooling/less than primary,74263
1996,8,Coloured,Primary,190
1996,8,Coloured,Secondary,0
1996,8,Coloured,Higher,1
1996,8,Indian or Asian,No schooling/less than primary,17810
1996,8,Indian or Asian,Primary,48
1996,8,Indian or Asian,Secondary,0
1996,8,Indian or Asian,Higher,0
1996,8,White,No schooling/less than primary,56701
1996,8,White,Primary,155
1996,8,White,Secondary,0
1996,8,White,Higher,7
1996,9,Black African,No schooling/less than primary,695852
1996,9,Black African,Primary,5873
1996,9,Black African,Secondary,0
1996,9,Black African,Higher,4
1996,9,Coloured,No schooling/less than primary,72703
1996,9,Coloured,Primary,436
1996,9,Coloured,Secondary,0
1996,9,Coloured,Higher,1
1996,9,Indian or Asian,No schooling/less than primary,17406
1996,9,Indian or Asian,Primary,112
1996,9,Indian or Asian,Secondary,0
1996,9,Indian or Asian,Higher,0
1996,9,White,No schooling/less than primary,57425
1996,9,White,Primary,402
1996,9,White,Secondary,0
1996,9,White,Higher,8
1996,10,Black African,No schooling/less than primary,731905
1996,10,Black African,Primary,11968
1996,10,Black African,Secondary,0
1996,10,Black African,Higher,6
1996,10,Coloured,No schooling/less than primary,77530
1996,10,Coloured,Primary,908
1996,10,Coloured,Secondary,0
1996,10,Coloured,Higher,0
1996,10,Indian or Asian,No schooling/less than primary,19507
1996,10,Indian or Asian,Primary,324
1996,10,Indian or Asian,Secondary,0
1996,10,Indian or Asian,Higher,3
1996,10,White,No schooling/less than primary,61494
1996,10,White,Primary,858
1996,10,White,Secondary,0
1996,10,White,Higher,15
1996,11,Black African,No schooling/less than primary,701588
1996,11,Black African,Primary,25686
1996,11,Black African,Secondary,0
1996,11,Black African,Higher,7
1996,11,Coloured,No schooling/less than primary,76412
1996,11,Coloured,Primary,1700
1996,11,Coloured,Secondary,0
1996,11,Coloured,Higher,0
1996,11,Indian or Asian,No schooling/less than primary,19207
1996,11,Indian or Asian,Primary,649
1996,11,Indian or Asian,Secondary,0
1996,11,Indian or Asian,Higher,0
1996,11,White,No schooling/less than primary,63095
1996,11,White,Primary,1720
1996,11,White,Secondary,0
1996,11,White,Higher,5
1996,12,Black African,No schooling/less than primary,656480
1996,12,Black African,Primary,84558
1996,12,Black African,Secondary,0
1996,12,Black African,Higher,0
1996,12,Coloured,No schooling/less than primary,71133
1996,12,Coloured,Primary,8625
1996,12,Coloured,Secondary,0
1996,12,Coloured,Higher,3
1996,12,Indian or Asian,No schooling/less than primary,15891
1996,12,Indian or Asian,Primary,4729
1996,12,Indian or Asian,Secondary,0
1996,12,Indian or Asian,Higher,2
1996,12,White,No schooling/less than primary,58944
1996,12,White,Primary,7880
1996,12,White,Secondary,0
1996,12,White,Higher,7
1996,13,Black African,No schooling/less than primary,523885
1996,13,Black African,Primary,200494
1996,13,Black African,Secondary,0
1996,13,Black African,Higher,8
1996,13,Coloured,No schooling/less than primary,49751
1996,13,Coloured,Primary,29932
1996,13,Coloured,Secondary,0
1996,13,Coloured,Higher,1
1996,13,Indian or Asian,No schooling/less than primary,6588
1996,13,Indian or Asian,Primary,13955
1996,13,Indian or Asian,Secondary,0
1996,13,Indian or Asian,Higher,0
1996,13,White,No schooling/less than primary,35646
1996,13,White,Primary,32649
1996,13,White,Secondary,0
1996,13,White,Higher,1
1996,14,Black African,No schooling/less than primary,397590
1996,14,Black African,Primary,332470
1996,14,Black African,Secondary,841
1996,14,Black African,Higher,7
1996,14,Coloured,No schooling/less than primary,27666
1996,14,Coloured,Primary,48779
1996,14,Coloured,Secondary,92
1996,14,Coloured,Higher,2
1996,14,Indian or Asian,No schooling/less than primary,2015
1996,14,Indian or Asian,Primary,18255
1996,14,Indian or Asian,Secondary,58
1996,14,Indian or Asian,Higher,0
1996,14,White,No schooling/less than primary,7203
1996,14,White,Primary,62649
1996,14,White,Secondary,308
1996,14,White,Higher,2
1996,15,Black African,No schooling/less than primary,267295
1996,15,Black African,Primary,405260
1996,15,Black African,Secondary,1570
1996,15,Black African,Higher,22
1996,15,Coloured,No schooling/less than primary,17049
1996,15,Coloured,Primary,55332
1996,15,Coloured,Secondary,109
1996,15,Coloured,Higher,3
1996,15,Indian or Asian,No schooling/less than primary,1134
1996,15,Indian or Asian,Primary,18182
1996,15,Indian or Asian,Secondary,94
1996,15,Indian or Asian,Higher,1
1996,15,White,No schooling/less than primary,2928
1996,15,White,Primary,65184
1996,15,White,Secondary,410
1996,15,White,Higher,11
1996,16,Black African,No schooling/less than primary,214480
1996,16,Black African,Primary,481783
1996,16,Black African,Secondary,5076
1996,16,Black African,Higher,45
1996,16,Coloured,No schooling/less than primary,12468
1996,16,Coloured,Primary,60407
1996,16,Coloured,Secondary,340
1996,16,Coloured,Higher,11
1996,16,Indian or Asian,No schooling/less than primary,727
1996,16,Indian or Asian,Primary,18821
1996,16,Indian or Asian,Secondary,301
1996,16,Indian or Asian,Higher,2
1996,16,White,No schooling/less than primary,1889
1996,16,White,Primary,65721
1996,16,White,Secondary,973
1996,16,White,Higher,37
1996,17,Black African,No schooling/less than primary,143405
1996,17,Black African,Primary,479918
1996,17,Black African,Secondary,18915
1996,17,Black African,Higher,853
1996,17,Coloured,No schooling/less than primary,8832
1996,17,Coloured,Primary,55109
1996,17,Coloured,Secondary,3042
1996,17,Coloured,Higher,117
1996,17,Indian or Asian,No schooling/less than primary,559
1996,17,Indian or Asian,Primary,15814
1996,17,Indian or Asian,Secondary,2747
1996,17,Indian or Asian,Higher,51
1996,17,White,No schooling/less than primary,1110
1996,17,White,Primary,56942
1996,17,White,Secondary,6195
1996,17,White,Higher,313
1996,18,Black African,No schooling/less than primary,123722
1996,18,Black African,Primary,464329
1996,18,Black African,Secondary,45452
1996,18,Black African,Higher,2119
1996,18,Coloured,No schooling/less than primary,8768
1996,18,Coloured,Primary,46610
1996,18,Coloured,Secondary,10885
1996,18,Coloured,Higher,465
1996,18,Indian or Asian,No schooling/less than primary,462
1996,18,Indian or Asian,Primary,8696
1996,18,Indian or Asian,Secondary,9638
1996,18,Indian or Asian,Higher,448
1996,18,White,No schooling/less than primary,979
1996,18,White,Primary,36829
1996,18,White,Secondary,24826
1996,18,White,Higher,1159
1996,19,Black African,No schooling/less than primary,116121
1996,19,Black African,Primary,439009
1996,19,Black African,Secondary,77745
1996,19,Black African,Higher,4184
1996,19,Coloured,No schooling/less than primary,8169
1996,19,Coloured,Primary,36997
1996,19,Coloured,Secondary,17013
1996,19,Coloured,Higher,1039
1996,19,Indian or Asian,No schooling/less than primary,366
1996,19,Indian or Asian,Primary,4724
1996,19,Indian or Asian,Secondary,12457
1996,19,Indian or Asian,Higher,959
1996,19,White,No schooling/less than primary,659
1996,19,White,Primary,13244
1996,19,White,Secondary,44477
1996,19,White,Higher,3664
1996,20,Black African,No schooling/less than primary,120643
1996,20,Black African,Primary,409708
1996,20,Black African,Secondary,114293
1996,20,Black African,Higher,7394
1996,20,Coloured,No schooling/less than primary,9239
1996,20,Coloured,Primary,34646
1996,20,Coloured,Secondary,19964
1996,20,Coloured,Higher,1676
1996,20,Indian or Asian,No schooling/less than primary,414
1996,20,Indian or Asian,Primary,4619
1996,20,Indian or Asian,Secondary,13133
1996,20,Indian or Asian,Higher,1581
1996,20,White,No schooling/less than primary,765
1996,20,White,Primary,11030
1996,20,White,Secondary,48267
1996,20,White,Higher,6464
1996,21,Black African,No schooling/less than primary,120280
1996,21,Black African,Primary,372529
1996,21,Black African,Secondary,136669
1996,21,Black African,Higher,11195
1996,21,Coloured,No schooling/less than primary,9907
1996,21,Coloured,Primary,33529
1996,21,Coloured,Secondary,20295
1996,21,Coloured,Higher,2422
1996,21,Indian or Asian,No schooling/less than primary,366
1996,21,Indian or Asian,Primary,5054
1996,21,Indian or Asian,Secondary,12715
1996,21,Indian or Asian,Higher,2135
1996,21,White,No schooling/less than primary,805
1996,21,White,Primary,10463
1996,21,White,Secondary,44230
1996,21,White,Higher,10112
1996,22,Black African,No schooling/less than primary,120549
1996,22,Black African,Primary,324572
1996,22,Black African,Secondary,146943
1996,22,Black African,Higher,14873
1996,22,Coloured,No schooling/less than primary,10558
1996,22,Coloured,Primary,33167
1996,22,Coloured,Secondary,19227
1996,22,Coloured,Higher,3168
1996,22,Indian or Asian,No schooling/less than primary,368
1996,22,Indian or Asian,Primary,5082
1996,22,Indian or Asian,Secondary,11403
1996,22,Indian or Asian,Higher,2986
1996,22,White,No schooling/less than primary,750
1996,22,White,Primary,10165
1996,22,White,Secondary,38092
1996,22,White,Higher,15205
1996,23,Black African,No schooling/less than primary,120957
1996,23,Black African,Primary,290800
1996,23,Black African,Secondary,147991
1996,23,Black African,Higher,18737
1996,23,Coloured,No schooling/less than primary,11326
1996,23,Coloured,Primary,34825
1996,23,Coloured,Secondary,17567
1996,23,Coloured,Higher,3879
1996,23,Indian or Asian,No schooling/less than primary,419
1996,23,Indian or Asian,Primary,5135
1996,23,Indian or Asian,Secondary,10166
1996,23,Indian or Asian,Higher,3278
1996,23,White,No schooling/less than primary,761
1996,23,White,Primary,10443
1996,23,White,Secondary,33788
1996,23,White,Higher,18771
1996,24,Black African,No schooling/less than primary,135225
1996,24,Black African,Primary,286479
1996,24,Black African,Secondary,152570
1996,24,Black African,Higher,23197
1996,24,Coloured,No schooling/less than primary,12011
1996,24,Coloured,Primary,36677
1996,24,Coloured,Secondary,16357
1996,24,Coloured,Higher,4232
1996,24,Indian or Asian,No schooling/less than primary,453
1996,24,Indian or Asian,Primary,5405
1996,24,Indian or Asian,Secondary,10135
1996,24,Indian or Asian,Higher,3608
1996,24,White,No schooling/less than primary,713
1996,24,White,Primary,11448
1996,24,White,Secondary,32917
1996,24,White,Higher,21793
1996,25,Black African,No schooling/less than primary,121235
1996,25,Black African,Primary,231194
1996,25,Black African,Secondary,129611
1996,25,Black African,Higher,23844
1996,25,Coloured,No schooling/less than primary,11453
1996,25,Coloured,Primary,34938
1996,25,Coloured,Secondary,14784
1996,25,Coloured,Higher,4460
1996,25,Indian or Asian,No schooling/less than primary,410
1996,25,Indian or Asian,Primary,5341
1996,25,Indian or Asian,Secondary,9772
1996,25,Indian or Asian,Higher,3490
1996,25,White,No schooling/less than primary,710
1996,25,White,Primary,11381
1996,25,White,Secondary,32061
1996,25,White,Higher,22968
1996,26,Black African,No schooling/less than primary,149421
1996,26,Black African,Primary,273927
1996,26,Black African,Secondary,138737
1996,26,Black African,Higher,28226
1996,26,Coloured,No schooling/less than primary,12416
1996,26,Coloured,Primary,36480
1996,26,Coloured,Secondary,13710
1996,26,Coloured,Higher,4429
1996,26,Indian or Asian,No schooling/less than primary,477
1996,26,Indian or Asian,Primary,5393
1996,26,Indian or Asian,Secondary,9155
1996,26,Indian or Asian,Higher,3356
1996,26,White,No schooling/less than primary,826
1996,26,White,Primary,12181
1996,26,White,Secondary,31524
1996,26,White,Higher,23285
1996,27,Black African,No schooling/less than primary,136396
1996,27,Black African,Primary,238557
1996,27,Black African,Secondary,114176
1996,27,Black African,Higher,27612
1996,27,Coloured,No schooling/less than primary,11806
1996,27,Coloured,Primary,35044
1996,27,Coloured,Secondary,12272
1996,27,Coloured,Higher,4402
1996,27,Indian or Asian,No schooling/less than primary,452
1996,27,Indian or Asian,Primary,5672
1996,27,Indian or Asian,Secondary,8467
1996,27,Indian or Asian,Higher,3033
1996,27,White,No schooling/less than primary,774
1996,27,White,Primary,12164
1996,27,White,Secondary,29187
1996,27,White,Higher,23223
1996,28,Black African,No schooling/less than primary,150536
1996,28,Black African,Primary,245276
1996,28,Black African,Secondary,105989
1996,28,Black African,Higher,28999
1996,28,Coloured,No schooling/less than primary,13228
1996,28,Coloured,Primary,35002
1996,28,Coloured,Secondary,11236
1996,28,Coloured,Higher,4462
1996,28,Indian or Asian,No schooling/less than primary,548
1996,28,Indian or Asian,Primary,5908
1996,28,Indian or Asian,Secondary,7785
1996,28,Indian or Asian,Higher,2992
1996,28,White,No schooling/less than primary,807
1996,28,White,Primary,12734
1996,28,White,Secondary,28184
1996,28,White,Higher,23064
1996,29,Black African,No schooling/less than primary,121775
1996,29,Black African,Primary,196724
1996,29,Black African,Secondary,81448
1996,29,Black African,Higher,26245
1996,29,Coloured,No schooling/less than primary,11687
1996,29,Coloured,Primary,32541
1996,29,Coloured,Secondary,10000
1996,29,Coloured,Higher,4354
1996,29,Indian or Asian,No schooling/less than primary,509
1996,29,Indian or Asian,Primary,5902
1996,29,Indian or Asian,Secondary,7137
1996,29,Indian or Asian,Higher,2816
1996,29,White,No schooling/less than primary,740
1996,29,White,Primary,12642
1996,29,White,Secondary,26263
1996,29,White,Higher,22555
1996,30,Black African,No schooling/less than primary,161724
1996,30,Black African,Primary,219045
1996,30,Black African,Secondary,79294
1996,30,Black African,Higher,28054
1996,30,Coloured,No schooling/less than primary,15442
1996,30,Coloured,Primary,36660
1996,30,Coloured,Secondary,9549
1996,30,Coloured,Higher,4659
1996,30,Indian or Asian,No schooling/less than primary,746
1996,30,Indian or Asian,Primary,7137
1996,30,Indian or Asian,Secondary,7589
1996,30,Indian or Asian,Higher,3077
1996,30,White,No schooling/less than primary,860
1996,30,White,Primary,14059
1996,30,White,Secondary,26584
1996,30,White,Higher,22404
1996,31,Black African,No schooling/less than primary,145860
1996,31,Black African,Primary,206094
1996,31,Black African,Secondary,66402
1996,31,Black African,Higher,25033
1996,31,Coloured,No schooling/less than primary,13356
1996,31,Coloured,Primary,32593
1996,31,Coloured,Secondary,7704
1996,31,Coloured,Higher,4022
1996,31,Indian or Asian,No schooling/less than primary,670
1996,31,Indian or Asian,Primary,6455
1996,31,Indian or Asian,Secondary,5876
1996,31,Indian or Asian,Higher,2667
1996,31,White,No schooling/less than primary,795
1996,31,White,Primary,13903
1996,31,White,Secondary,23740
1996,31,White,Higher,20936
1996,32,Black African,No schooling/less than primary,163849
1996,32,Black African,Primary,213280
1996,32,Black African,Secondary,61084
1996,32,Black African,Higher,25247
1996,32,Coloured,No schooling/less than primary,15228
1996,32,Coloured,Primary,35250
1996,32,Coloured,Secondary,7383
1996,32,Coloured,Higher,3773
1996,32,Indian or Asian,No schooling/less than primary,844
1996,32,Indian or Asian,Primary,7495
1996,32,Indian or Asian,Secondary,6092
1996,32,Indian or Asian,Higher,2923
1996,32,White,No schooling/less than primary,841
1996,32,White,Primary,15538
1996,32,White,Secondary,25148
1996,32,White,Higher,21888
1996,33,Black African,No schooling/less than primary,156671
1996,33,Black African,Primary,194871
1996,33,Black African,Secondary,50987
1996,33,Black African,Higher,22941
1996,33,Coloured,No schooling/less than primary,14127
1996,33,Coloured,Primary,33289
1996,33,Coloured,Secondary,6102
1996,33,Coloured,Higher,3456
1996,33,Indian or Asian,No schooling/less than primary,735
1996,33,Indian or Asian,Primary,7078
1996,33,Indian or Asian,Secondary,5437
1996,33,Indian or Asian,Higher,2527
1996,33,White,No schooling/less than primary,789
1996,33,White,Primary,14768
1996,33,White,Secondary,25003
1996,33,White,Higher,21521
1996,34,Black African,No schooling/less than primary,162116
1996,34,Black African,Primary,189157
1996,34,Black African,Secondary,45567
1996,34,Black African,Higher,22273
1996,34,Coloured,No schooling/less than primary,14382
1996,34,Coloured,Primary,31734
1996,34,Coloured,Secondary,5739
1996,34,Coloured,Higher,3382
1996,34,Indian or Asian,No schooling/less than primary,844
1996,34,Indian or Asian,Primary,7146
1996,34,Indian or Asian,Secondary,5158
1996,34,Indian or Asian,Higher,2487
1996,34,White,No schooling/less than primary,826
1996,34,White,Primary,15133
1996,34,White,Secondary,25632
1996,34,White,Higher,21466
1996,35,Black African,No schooling/less than primary,156056
1996,35,Black African,Primary,168097
1996,35,Black African,Secondary,39591
1996,35,Black African,Higher,20693
1996,35,Coloured,No schooling/less than primary,14349
1996,35,Coloured,Primary,31122
1996,35,Coloured,Secondary,5391
1996,35,Coloured,Higher,3296
1996,35,Indian or Asian,No schooling/less than primary,926
1996,35,Indian or Asian,Primary,7565
1996,35,Indian or Asian,Secondary,5089
1996,35,Indian or Asian,Higher,2471
1996,35,White,No schooling/less than primary,866
1996,35,White,Primary,15579
1996,35,White,Secondary,25956
1996,35,White,Higher,21720
1996,36,Black African,No schooling/less than primary,181073
1996,36,Black African,Primary,195375
1996,36,Black African,Secondary,41700
1996,36,Black African,Higher,22144
1996,36,Coloured,No schooling/less than primary,15572
1996,36,Coloured,Primary,32633
1996,36,Coloured,Secondary,5007
1996,36,Coloured,Higher,3240
1996,36,Indian or Asian,No schooling/less than primary,1046
1996,36,Indian or Asian,Primary,8420
1996,36,Indian or Asian,Secondary,4565
1996,36,Indian or Asian,Higher,2352
1996,36,White,No schooling/less than primary,910
1996,36,White,Primary,16605
1996,36,White,Secondary,26826
1996,36,White,Higher,22143
1996,37,Black African,No schooling/less than primary,147932
1996,37,Black African,Primary,149994
1996,37,Black African,Secondary,28680
1996,37,Black African,Higher,17536
1996,37,Coloured,No schooling/less than primary,12891
1996,37,Coloured,Primary,27288
1996,37,Coloured,Secondary,3717
1996,37,Coloured,Higher,2718
1996,37,Indian or Asian,No schooling/less than primary,892
1996,37,Indian or Asian,Primary,7786
1996,37,Indian or Asian,Secondary,3637
1996,37,Indian or Asian,Higher,1987
1996,37,White,No schooling/less than primary,774
1996,37,White,Primary,16360
1996,37,White,Secondary,23284
1996,37,White,Higher,21248
1996,38,Black African,No schooling/less than primary,178988
1996,38,Black African,Primary,167065
1996,38,Black African,Secondary,28616
1996,38,Black African,Higher,18156
1996,38,Coloured,No schooling/less than primary,14439
1996,38,Coloured,Primary,28925
1996,38,Coloured,Secondary,3570
1996,38,Coloured,Higher,2660
1996,38,Indian or Asian,No schooling/less than primary,1087
1996,38,Indian or Asian,Primary,8448
1996,38,Indian or Asian,Secondary,3616
1996,38,Indian or Asian,Higher,1828
1996,38,White,No schooling/less than primary,905
1996,38,White,Primary,18713
1996,38,White,Secondary,23963
1996,38,White,Higher,21008
1996,39,Black African,No schooling/less than primary,146695
1996,39,Black African,Primary,135035
1996,39,Black African,Secondary,21698
1996,39,Black African,Higher,14938
1996,39,Coloured,No schooling/less than primary,12905
1996,39,Coloured,Primary,26663
1996,39,Coloured,Secondary,2923
1996,39,Coloured,Higher,2341
1996,39,Indian or Asian,No schooling/less than primary,1054
1996,39,Indian or Asian,Primary,7860
1996,39,Indian or Asian,Secondary,3309
1996,39,Indian or Asian,Higher,1646
1996,39,White,No schooling/less than primary,767
1996,39,White,Primary,18301
1996,39,White,Secondary,21911
1996,39,White,Higher,19624
1996,40,Black African,No schooling/less than primary,176415
1996,40,Black African,Primary,140468
1996,40,Black African,Secondary,21054
1996,40,Black African,Higher,16023
1996,40,Coloured,No schooling/less than primary,15078
1996,40,Coloured,Primary,27067
1996,40,Coloured,Secondary,2873
1996,40,Coloured,Higher,2432
1996,40,Indian or Asian,No schooling/less than primary,1500
1996,40,Indian or Asian,Primary,9345
1996,40,Indian or Asian,Secondary,3578
1996,40,Indian or Asian,Higher,1737
1996,40,White,No schooling/less than primary,1023
1996,40,White,Primary,19930
1996,40,White,Secondary,24036
1996,40,White,Higher,19895
1996,41,Black African,No schooling/less than primary,136723
1996,41,Black African,Primary,107637
1996,41,Black African,Secondary,14212
1996,41,Black African,Higher,11953
1996,41,Coloured,No schooling/less than primary,12168
1996,41,Coloured,Primary,22119
1996,41,Coloured,Secondary,2191
1996,41,Coloured,Higher,2025
1996,41,Indian or Asian,No schooling/less than primary,1178
1996,41,Indian or Asian,Primary,7391
1996,41,Indian or Asian,Secondary,2684
1996,41,Indian or Asian,Higher,1329
1996,41,White,No schooling/less than primary,820
1996,41,White,Primary,17629
1996,41,White,Secondary,20524
1996,41,White,Higher,18059
1996,42,Black African,No schooling/less than primary,154834
1996,42,Black African,Primary,119753
1996,42,Black African,Secondary,14969
1996,42,Black African,Higher,12192
1996,42,Coloured,No schooling/less than primary,13994
1996,42,Coloured,Primary,23450
1996,42,Coloured,Secondary,2327
1996,42,Coloured,Higher,1968
1996,42,Indian or Asian,No schooling/less than primary,1472
1996,42,Indian or Asian,Primary,8635
1996,42,Indian or Asian,Secondary,3064
1996,42,Indian or Asian,Higher,1400
1996,42,White,No schooling/less than primary,864
1996,42,White,Primary,18858
1996,42,White,Secondary,21518
1996,42,White,Higher,17919
1996,43,Black African,No schooling/less than primary,140122
1996,43,Black African,Primary,103097
1996,43,Black African,Secondary,11283
1996,43,Black African,Higher,9894
1996,43,Coloured,No schooling/less than primary,12995
1996,43,Coloured,Primary,21168
1996,43,Coloured,Secondary,1866
1996,43,Coloured,Higher,1710
1996,43,Indian or Asian,No schooling/less than primary,1450
1996,43,Indian or Asian,Primary,7797
1996,43,Indian or Asian,Secondary,2495
1996,43,Indian or Asian,Higher,1173
1996,43,White,No schooling/less than primary,746
1996,43,White,Primary,18281
1996,43,White,Secondary,20482
1996,43,White,Higher,16897
1996,44,Black African,No schooling/less than primary,154466
1996,44,Black African,Primary,104438
1996,44,Black African,Secondary,10515
1996,44,Black African,Higher,9244
1996,44,Coloured,No schooling/less than primary,12620
1996,44,Coloured,Primary,19257
1996,44,Coloured,Secondary,1679
1996,44,Coloured,Higher,1620
1996,44,Indian or Asian,No schooling/less than primary,1555
1996,44,Indian or Asian,Primary,7523
1996,44,Indian or Asian,Secondary,2319
1996,44,Indian or Asian,Higher,1090
1996,44,White,No schooling/less than primary,766
1996,44,White,Primary,17789
1996,44,White,Secondary,19891
1996,44,White,Higher,15880
1996,45,Black African,No schooling/less than primary,131396
1996,45,Black African,Primary,79422
1996,45,Black African,Secondary,8439
1996,45,Black African,Higher,7488
1996,45,Coloured,No schooling/less than primary,12995
1996,45,Coloured,Primary,19031
1996,45,Coloured,Secondary,1578
1996,45,Coloured,Higher,1493
1996,45,Indian or Asian,No schooling/less than primary,1738
1996,45,Indian or Asian,Primary,7728
1996,45,Indian or Asian,Secondary,2269
1996,45,Indian or Asian,Higher,1124
1996,45,White,No schooling/less than primary,761
1996,45,White,Primary,17654
1996,45,White,Secondary,20758
1996,45,White,Higher,15455
1996,46,Black African,No schooling/less than primary,153422
1996,46,Black African,Primary,93164
1996,46,Black African,Secondary,8984
1996,46,Black African,Higher,7698
1996,46,Coloured,No schooling/less than primary,12258
1996,46,Coloured,Primary,18690
1996,46,Coloured,Secondary,1476
1996,46,Coloured,Higher,1280
1996,46,Indian or Asian,No schooling/less than primary,1825
1996,46,Indian or Asian,Primary,7672
1996,46,Indian or Asian,Secondary,2073
1996,46,Indian or Asian,Higher,1092
