year,province,u5mr,population,,,,,,,,
2007,9,0.0348,,,,,,,,,
2008,1,0.0185,,,,,,,,,
2008,2,0.0390,,,,,,,,,
2008,3,0.0418,,,,,,,,,
2008,4,0.0483,,,,,,,,,
2008,5,0.0459,,,,,,,,,
2008,6,0.0521,,,,,,,,,
2008,7,0.0272,,,,,,,,,
2008,8,0.0384,,,,,,,,,
2008,9,0.0342,,,,,,,,,
2009,1,0.0180,,,,,,,,,
2009,2,0.0378,,,,,,,,,
2009,3,0.0417,,,,,,,,,
2009,4,0.0472,,,,,,,,,
2009,5,0.0448,,,,,,,,,
2009,6,0.0515,,,,,,,,,
2009,7,0.0264,,,,,,,,,
2009,8,0.0373,,,,,,,,,
2009,9,0.0336,,,,,,,,,
2010,1,0.0175,,,,,,,,,
2010,2,0.0366,,,,,,,,,
2010,3,0.0416,,,,,,,,,
2010,4,0.0461,,,,,,,,,
2010,5,0.0437,,,,,,,,,
2010,6,0.0509,,,,,,,,,
2010,7,0.0256,,,,,,,,,
2010,8,0.0362,,,,,,,,,
2010,9,0.0330,,,,,,,,,
2011,1,0.0170,5822734,,,,,,,,
2011,2,0.0354,6562053,,,,,,,,
2011,3,0.0415,1145861,,,,,,,,
2011,4,0.0450,2745590,,,,,,,,
2011,5,0.0426,10267300,,,,,,,,
2011,6,0.0503,3509953,,,,,,,,
2011,7,0.0248,12272263,,,,,,,,
2011,8,0.0351,4039939,,,,,,,,
2011,9,0.0324,5404868,,,,,,,,
2012,1,0.0165,,,,,,,,,
2012,2,0.0342,,,,,,,,,
2012,3,0.0414,,,,,,,,,
2012,4,0.0439,,,,,,,,,
2012,5,0.0415,,,,,,,,,
2012,6,0.0497,,,,,,,,,
2012,7,0.0240,,,,,,,,,
2012,8,0.0340,,,,,,,,,
2012,9,0.0318,,,,,,,,,
2013,1,0.0160,,,,,,,,,
2013,2,0.0330,,,,,,,,,
2013,3,0.0413,,,,,,,,,
2013,4,0.0428,,,,,,,,,
2013,5,0.0404,,,,,,,,,
2013,6,0.0491,,,,,,,,,
2013,7,0.0232,,,,,,,,,
2013,8,0.0329,,,,,,,,,
2013,9,0.0312,,,,,,,,,
2014,1,0.0155,,,,,,,,,
2014,2,0.0318,,,,,,,,,
2014,3,0.0412,,,,,,,,,
2014,4,0.0417,,,,,,,,,
2014,5,0.0393,,,,,,,,,
2014,6,0.0485,,,,,,,,,
2014,7,0.0224,,,,,,,,,
2014,8,0.0318,,,,,,,,,
2014,9,0.0306,,,,,,,,,
2015,1,0.0150,,,,,,,,,
2015,2,0.0306,,,,,,,,,
2015,3,0.0411,,,,,,,,,
2015,4,0.0406,,,,,,,,,
2015,5,0.0382,,,,,,,,,
2015,6,0.0479,,,,,,,,,
2015,7,0.0216,,,,,,,,,
2015,8,0.0307,,,,,,,,,
2015,9,0.0300,,,,,,,,,
2016,1,,6279730,,,,,,,,
2016,2,,6996976,,,,,,,,
2016,3,,1193780,,,,,,,,
2016,4,,2834714,,,,,,,,
2016,5,,11065240,,,,,,,,
2016,6,,3748435,,,,,,,,
2016,7,,13399724,,,,,,,,
2016,8,,4335964,,,,,,,,
2016,9,,5799090,,,,,,,,
