time,age,population_group,employment,population,geo
1996,12,White,Unspecified,0,zaf
1996,12,White,Not applicable,71437.05416,zaf
1996,12,Black African,Employed,0,zaf
1996,12,Black African,Unemployed,0,zaf
1996,12,Black African,Discouraged work-seeker,0,zaf
1996,12,Black African,Not economically active,0,zaf
1996,12,Black African,Unspecified,0,zaf
1996,12,Black African,Not applicable,757482.0752,zaf
1996,13,White,Employed,0,zaf
1996,13,White,Unemployed,0,zaf
1996,13,White,Discouraged work-seeker,0,zaf
1996,13,White,Not economically active,0,zaf
1996,13,White,Unspecified,0,zaf
1996,13,White,Not applicable,72683.8892,zaf
1996,13,Black African,Employed,0,zaf
1996,13,Black African,Unemployed,0,zaf
1996,13,Black African,Discouraged work-seeker,0,zaf
1996,13,Black African,Not economically active,0,zaf
1996,13,Black African,Unspecified,0,zaf
1996,13,Black African,Not applicable,737424.4572,zaf
1996,14,White,Employed,0,zaf
1996,14,White,Unemployed,0,zaf
1996,14,White,Discouraged work-seeker,0,zaf
1996,14,White,Not economically active,0,zaf
1996,14,White,Unspecified,0,zaf
1996,14,White,Not applicable,74352.34656,zaf
1996,14,Black African,Employed,0,zaf
1996,14,Black African,Unemployed,0,zaf
1996,14,Black African,Discouraged work-seeker,0,zaf
1996,14,Black African,Not economically active,0,zaf
1996,14,Black African,Unspecified,0,zaf
1996,14,Black African,Not applicable,743307.5026,zaf
1996,15,White,Employed,504.85224,zaf
1996,15,White,Unemployed,177.03114,zaf
1996,15,White,Discouraged work-seeker,0,zaf
1996,15,White,Not economically active,63792.01332,zaf
1996,15,White,Unspecified,0,zaf
1996,15,White,Not applicable,8053.43444,zaf
1996,15,Black African,Employed,3968.06851,zaf
1996,15,Black African,Unemployed,12755.89045,zaf
1996,15,Black African,Discouraged work-seeker,0,zaf
1996,15,Black African,Not economically active,660104.5168,zaf
1996,15,Black African,Unspecified,0,zaf
1996,15,Black African,Not applicable,9025.66963,zaf
1996,16,White,Employed,1445.55238,zaf
1996,16,White,Unemployed,584.44218,zaf
1996,16,White,Discouraged work-seeker,0,zaf
1996,16,White,Not economically active,62386.38954,zaf
1996,16,White,Unspecified,0,zaf
1996,16,White,Not applicable,8013.61062,zaf
1996,16,Black African,Employed,7824.86004,zaf
1996,16,Black African,Unemployed,23953.28859,zaf
1996,16,Black African,Discouraged work-seeker,0,zaf
1996,16,Black African,Not economically active,671496.6813,zaf
1996,16,Black African,Unspecified,1.1232,zaf
1996,16,Black African,Not applicable,10313.60564,zaf
1996,17,White,Employed,3180.75856,zaf
1996,17,White,Unemployed,1360.56376,zaf
1996,17,White,Discouraged work-seeker,0,zaf
1996,17,White,Not economically active,56029.90926,zaf
1996,17,White,Unspecified,0,zaf
1996,17,White,Not applicable,7253.02692,zaf
1996,17,Black African,Employed,12986.24674,zaf
1996,17,Black African,Unemployed,38890.28773,zaf
1996,17,Black African,Discouraged work-seeker,0,zaf
1996,17,Black African,Not economically active,591219.0775,zaf
1996,17,Black African,Unspecified,0,zaf
1996,17,Black African,Not applicable,11120.03833,zaf
1996,18,White,Employed,10609.85622,zaf
1996,18,White,Unemployed,3131.47656,zaf
1996,18,White,Discouraged work-seeker,0,zaf
1996,18,White,Not economically active,46487.6206,zaf
1996,18,White,Unspecified,0,zaf
1996,18,White,Not applicable,6610.39408,zaf
1996,18,Black African,Employed,22363.34395,zaf
1996,18,Black African,Unemployed,60584.31575,zaf
1996,18,Black African,Discouraged work-seeker,0,zaf
1996,18,Black African,Not economically active,550827.6096,zaf
1996,18,Black African,Unspecified,0,zaf
1996,18,Black African,Not applicable,13658.52228,zaf
1996,19,White,Employed,25111.2308,zaf
1996,19,White,Unemployed,5002.89186,zaf
1996,19,White,Discouraged work-seeker,0,zaf
1996,19,White,Not economically active,27887.27154,zaf
1996,19,White,Unspecified,0,zaf
1996,19,White,Not applicable,7155.93042,zaf
1996,19,Black African,Employed,34186.09871,zaf
1996,19,Black African,Unemployed,91928.89716,zaf
1996,19,Black African,Discouraged work-seeker,0,zaf
1996,19,Black African,Not economically active,506986.9208,zaf
1996,19,Black African,Unspecified,0,zaf
1996,19,Black African,Not applicable,16124.22789,zaf
1996,20,White,Employed,34446.22482,zaf
1996,20,White,Unemployed,4805.93592,zaf
1996,20,White,Discouraged work-seeker,0,zaf
1996,20,White,Not economically active,25065.19726,zaf
1996,20,White,Unspecified,0,zaf
1996,20,White,Not applicable,5985.98438,zaf
1996,20,Black African,Employed,55353.69384,zaf
1996,20,Black African,Unemployed,133428.1134,zaf
1996,20,Black African,Discouraged work-seeker,0,zaf
1996,20,Black African,Not economically active,457614.3042,zaf
1996,20,Black African,Unspecified,2.266,zaf
1996,20,Black African,Not applicable,20095.65849,zaf
1996,21,White,Employed,40073.42946,zaf
1996,21,White,Unemployed,4061.6611,zaf
1996,21,White,Discouraged work-seeker,0,zaf
1996,21,White,Not economically active,21363.00614,zaf
1996,21,White,Unspecified,0,zaf
1996,21,White,Not applicable,4191.99136,zaf
1996,21,Black African,Employed,75599.25383,zaf
1996,21,Black African,Unemployed,163762.4907,zaf
1996,21,Black African,Discouraged work-seeker,0,zaf
1996,21,Black African,Not economically active,394588.8356,zaf
1996,21,Black African,Unspecified,3.399,zaf
1996,21,Black African,Not applicable,21805.53993,zaf
1996,22,White,Employed,44955.5467,zaf
1996,22,White,Unemployed,3547.65296,zaf
1996,22,White,Discouraged work-seeker,0,zaf
1996,22,White,Not economically active,17196.97284,zaf
1996,22,White,Unspecified,0,zaf
1996,22,White,Not applicable,2956.47246,zaf
1996,22,Black African,Employed,96352.4737,zaf
1996,22,Black African,Unemployed,183060.654,zaf
1996,22,Black African,Discouraged work-seeker,0,zaf
1996,22,Black African,Not economically active,320432.2714,zaf
1996,22,Black African,Unspecified,1.133,zaf
1996,22,Black African,Not applicable,22391.89543,zaf
1996,23,White,Employed,50255.23508,zaf
1996,23,White,Unemployed,3196.99658,zaf
1996,23,White,Discouraged work-seeker,0,zaf
1996,23,White,Not economically active,12895.78178,zaf
1996,23,White,Unspecified,0,zaf
1996,23,White,Not applicable,2185.23992,zaf
1996,23,Black African,Employed,118577.4227,zaf
1996,23,Black African,Unemployed,195669.8383,zaf
1996,23,Black African,Discouraged work-seeker,0,zaf
1996,23,Black African,Not economically active,257903.8312,zaf
1996,23,Black African,Unspecified,1.133,zaf
1996,23,Black African,Not applicable,21882.15421,zaf
1996,24,White,Employed,55905.86543,zaf
1996,24,White,Unemployed,3013.13239,zaf
1996,24,White,Discouraged work-seeker,0,zaf
1996,24,White,Not economically active,11081.37765,zaf
1996,24,White,Unspecified,0,zaf
1996,24,White,Not applicable,1918.39682,zaf
1996,24,Black African,Employed,148992.9257,zaf
1996,24,Black African,Unemployed,212799.5441,zaf
1996,24,Black African,Discouraged work-seeker,0,zaf
1996,24,Black African,Not economically active,230568.8462,zaf
1996,24,Black African,Unspecified,0,zaf
1996,24,Black African,Not applicable,22194.87666,zaf
1996,25,White,Employed,57572.01957,zaf
1996,25,White,Unemployed,2823.87198,zaf
1996,25,White,Discouraged work-seeker,0,zaf
1996,25,White,Not economically active,10284.02542,zaf
1996,25,White,Unspecified,0,zaf
1996,25,White,Not applicable,1610.70757,zaf
1996,25,Black African,Employed,150728.9783,zaf
1996,25,Black African,Unemployed,183051.9954,zaf
1996,25,Black African,Discouraged work-seeker,0,zaf
1996,25,Black African,Not economically active,168912.9679,zaf
1996,25,Black African,Unspecified,0,zaf
1996,25,Black African,Not applicable,18904.42241,zaf
1996,26,White,Employed,58601.1125,zaf
1996,26,White,Unemployed,2712.63872,zaf
1996,26,White,Discouraged work-seeker,0,zaf
1996,26,White,Not economically active,10332.18877,zaf
1996,26,White,Unspecified,0,zaf
1996,26,White,Not applicable,1523.18209,zaf
1996,26,Black African,Employed,198887.7185,zaf
1996,26,Black African,Unemployed,214116.5925,zaf
1996,26,Black African,Discouraged work-seeker,0,zaf
1996,26,Black African,Not economically active,175996.4445,zaf
1996,26,Black African,Unspecified,1.133,zaf
1996,26,Black African,Not applicable,20243.20249,zaf
1996,27,White,Employed,56641.40262,zaf
1996,27,White,Unemployed,2280.18625,zaf
1996,27,White,Discouraged work-seeker,0,zaf
1996,27,White,Not economically active,10060.2587,zaf
1996,27,White,Unspecified,0,zaf
1996,27,White,Not applicable,1425.05447,zaf
1996,27,Black African,Employed,197248.5088,zaf
1996,27,Black African,Unemployed,186289.8972,zaf
1996,27,Black African,Discouraged work-seeker,0,zaf
1996,27,Black African,Not economically active,133440.007,zaf
1996,27,Black African,Unspecified,0,zaf
1996,27,Black African,Not applicable,16696.60701,zaf
1996,28,White,Employed,55975.71736,zaf
1996,28,White,Unemployed,2262.01315,zaf
1996,28,White,Discouraged work-seeker,0,zaf
1996,28,White,Not economically active,10446.4241,zaf
1996,28,White,Unspecified,0,zaf
1996,28,White,Not applicable,1337.83183,zaf
1996,28,Black African,Employed,220023.9199,zaf
1996,28,Black African,Unemployed,184447.0391,zaf
1996,28,Black African,Discouraged work-seeker,0,zaf
1996,28,Black African,Not economically active,128405.3697,zaf
1996,28,Black African,Unspecified,2.266,zaf
1996,28,Black African,Not applicable,15792.81433,zaf
1996,29,White,Employed,53689.24814,zaf
1996,29,White,Unemployed,2012.38264,zaf
1996,29,White,Discouraged work-seeker,0,zaf
1996,29,White,Not economically active,10166.24825,zaf
1996,29,White,Unspecified,0,zaf
1996,29,White,Not applicable,1220.27554,zaf
1996,29,Black African,Employed,187453.7289,zaf
1996,29,Black African,Unemployed,143746.6511,zaf
1996,29,Black African,Discouraged work-seeker,0,zaf
1996,29,Black African,Not economically active,96411.77527,zaf
1996,29,Black African,Unspecified,3.3115,zaf
1996,29,Black African,Not applicable,12790.75572,zaf
1996,30,White,Employed,54649.96027,zaf
1996,30,White,Unemployed,2146.89111,zaf
1996,30,White,Discouraged work-seeker,0,zaf
1996,30,White,Not economically active,11247.42965,zaf
1996,30,White,Unspecified,0,zaf
1996,30,White,Not applicable,1274.04171,zaf
1996,30,Black African,Employed,223970.6724,zaf
1996,30,Black African,Unemployed,157595.146,zaf
1996,30,Black African,Discouraged work-seeker,0,zaf
1996,30,Black African,Not economically active,110856.1,zaf
1996,30,Black African,Unspecified,3.3115,zaf
1996,30,Black African,Not applicable,12882.52745,zaf
1996,31,White,Employed,50967.77865,zaf
1996,31,White,Unemployed,1968.15518,zaf
1996,31,White,Discouraged work-seeker,0,zaf
1996,31,White,Not economically active,10276.76319,zaf
1996,31,White,Unspecified,0,zaf
1996,31,White,Not applicable,1136.53517,zaf
1996,31,Black African,Employed,208613.8996,zaf
1996,31,Black African,Unemployed,142948.5042,zaf
1996,31,Black African,Discouraged work-seeker,0,zaf
1996,31,Black African,Not economically active,95667.29502,zaf
1996,31,Black African,Unspecified,0,zaf
1996,31,Black African,Not applicable,11070.12316,zaf
1996,32,White,Employed,54147.88913,zaf
1996,32,White,Unemployed,2008.6973,zaf
1996,32,White,Discouraged work-seeker,0,zaf
1996,32,White,Not economically active,11314.11584,zaf
1996,32,White,Unspecified,0,zaf
1996,32,White,Not applicable,1146.29108,zaf
1996,32,Black African,Employed,226319.6128,zaf
1996,32,Black African,Unemployed,144038.085,zaf
1996,32,Black African,Discouraged work-seeker,0,zaf
1996,32,Black African,Not economically active,98558.29973,zaf
1996,32,Black African,Unspecified,3.2874,zaf
1996,32,Black African,Not applicable,10765.98247,zaf
1996,33,White,Employed,52789.99185,zaf
1996,33,White,Unemployed,1918.35116,zaf
1996,33,White,Discouraged work-seeker,0,zaf
1996,33,White,Not economically active,11395.56037,zaf
1996,33,White,Unspecified,0,zaf
1996,33,White,Not applicable,1113.76204,zaf
1996,33,Black African,Employed,210925.036,zaf
1996,33,Black African,Unemployed,130621.1476,zaf
1996,33,Black African,Discouraged work-seeker,0,zaf
1996,33,Black African,Not economically active,88988.7659,zaf
1996,33,Black African,Unspecified,1.0958,zaf
1996,33,Black African,Not applicable,9697.28554,zaf
1996,34,White,Employed,53651.45385,zaf
1996,34,White,Unemployed,1835.89079,zaf
1996,34,White,Discouraged work-seeker,0,zaf
1996,34,White,Not economically active,11711.53752,zaf
1996,34,White,Unspecified,0,zaf
1996,34,White,Not applicable,1007.49038,zaf
1996,34,Black African,Employed,212954.3346,zaf
1996,34,Black African,Unemployed,124873.3974,zaf
1996,34,Black African,Discouraged work-seeker,0,zaf
1996,34,Black African,Not economically active,87377.905,zaf
1996,34,Black African,Unspecified,1.0958,zaf
1996,34,Black African,Not applicable,8767.39768,zaf
1996,35,White,Employed,54239.00705,zaf
1996,35,White,Unemployed,1909.07029,zaf
1996,35,White,Discouraged work-seeker,0,zaf
1996,35,White,Not economically active,12280.36845,zaf
1996,35,White,Unspecified,0,zaf
1996,35,White,Not applicable,1169.54072,zaf
1996,35,Black African,Employed,199559.3464,zaf
1996,35,Black African,Unemployed,110054.1676,zaf
1996,35,Black African,Discouraged work-seeker,0,zaf
1996,35,Black African,Not economically active,81106.89243,zaf
1996,35,Black African,Unspecified,0,zaf
1996,35,Black African,Not applicable,7916.2898,zaf
1996,36,White,Employed,55789.46689,zaf
1996,36,White,Unemployed,2110.19933,zaf
1996,36,White,Discouraged work-seeker,0,zaf
1996,36,White,Not economically active,13019.97352,zaf
1996,36,White,Unspecified,0,zaf
1996,36,White,Not applicable,1099.24039,zaf
1996,36,Black African,Employed,229223.0573,zaf
1996,36,Black African,Unemployed,125854.0239,zaf
1996,36,Black African,Discouraged work-seeker,0,zaf
1996,36,Black African,Not economically active,93104.64393,zaf
1996,36,Black African,Unspecified,0,zaf
1996,36,Black African,Not applicable,8298.59448,zaf
1996,37,White,Employed,52120.13393,zaf
1996,37,White,Unemployed,1847.47997,zaf
1996,37,White,Discouraged work-seeker,0,zaf
1996,37,White,Not economically active,11998.86125,zaf
1996,37,White,Unspecified,0,zaf
1996,37,White,Not applicable,1016.58723,zaf
1996,37,Black African,Employed,181005.884,zaf
1996,37,Black African,Unemployed,96468.51033,zaf
1996,37,Black African,Discouraged work-seeker,0,zaf
1996,37,Black African,Not economically active,72850.14992,zaf
1996,37,Black African,Unspecified,0,zaf
1996,37,Black African,Not applicable,6180.85348,zaf
1996,38,White,Employed,53886.06945,zaf
1996,38,White,Unemployed,1886.69666,zaf
1996,38,White,Discouraged work-seeker,0,zaf
1996,38,White,Not economically active,13154.65601,zaf
1996,38,White,Unspecified,0,zaf
1996,38,White,Not applicable,1070.31793,zaf
1996,38,Black African,Employed,208859.6146,zaf
1996,38,Black African,Unemployed,106387.5802,zaf
1996,38,Black African,Discouraged work-seeker,0,zaf
1996,38,Black African,Not economically active,85610.06454,zaf
1996,38,Black African,Unspecified,0,zaf
1996,38,Black African,Not applicable,6744.26891,zaf
1996,39,White,Employed,50524.25187,zaf
1996,39,White,Unemployed,1775.07725,zaf
1996,39,White,Discouraged work-seeker,0,zaf
1996,39,White,Not economically active,12423.73579,zaf
1996,39,White,Unspecified,0,zaf
1996,39,White,Not applicable,1031.31071,zaf
1996,39,Black African,Employed,171141.4076,zaf
1996,39,Black African,Unemployed,85488.92513,zaf
1996,39,Black African,Discouraged work-seeker,0,zaf
1996,39,Black African,Not economically active,67925.01943,zaf
1996,39,Black African,Unspecified,0,zaf
1996,39,Black African,Not applicable,5560.29263,zaf
1996,40,White,Employed,53885.12841,zaf
1996,40,White,Unemployed,1912.00799,zaf
1996,40,White,Discouraged work-seeker,0,zaf
1996,40,White,Not economically active,13558.17885,zaf
1996,40,White,Unspecified,0,zaf
1996,40,White,Not applicable,1133.87949,zaf
1996,40,Black African,Employed,191221.9503,zaf
1996,40,Black African,Unemployed,89920.07549,zaf
1996,40,Black African,Discouraged work-seeker,0,zaf
1996,40,Black African,Not economically active,81355.94302,zaf
1996,40,Black African,Unspecified,0,zaf
1996,40,Black African,Not applicable,5797.58919,zaf
1996,41,White,Employed,47376.76762,zaf
1996,41,White,Unemployed,1617.26655,zaf
1996,41,White,Discouraged work-seeker,0,zaf
1996,41,White,Not economically active,12056.45191,zaf
1996,41,White,Unspecified,0,zaf
1996,41,White,Not applicable,910.55167,zaf
1996,41,Black African,Employed,144503.3401,zaf
1996,41,Black African,Unemployed,70172.0218,zaf
1996,41,Black African,Discouraged work-seeker,0,zaf
1996,41,Black African,Not economically active,61836.33604,zaf
1996,41,Black African,Unspecified,0,zaf
1996,41,Black African,Not applicable,4376.90557,zaf
1996,42,White,Employed,48681.5255,zaf
1996,42,White,Unemployed,1712.99668,zaf
1996,42,White,Discouraged work-seeker,0,zaf
1996,42,White,Not economically active,12660.00593,zaf
1996,42,White,Unspecified,0,zaf
1996,42,White,Not applicable,1007.99858,zaf
1996,42,Black African,Employed,162554.9208,zaf
1996,42,Black African,Unemployed,76101.70838,zaf
1996,42,Black African,Discouraged work-seeker,0,zaf
1996,42,Black African,Not economically active,70043.96782,zaf
1996,42,Black African,Unspecified,0,zaf
1996,42,Black African,Not applicable,4421.41694,zaf
1996,43,White,Employed,46318.81243,zaf
1996,43,White,Unemployed,1650.69761,zaf
1996,43,White,Discouraged work-seeker,0,zaf
1996,43,White,Not economically active,12440.01263,zaf
1996,43,White,Unspecified,0,zaf
1996,43,White,Not applicable,910.8111,zaf
1996,43,Black African,Employed,139477.132,zaf
1996,43,Black African,Unemployed,67904.82846,zaf
1996,43,Black African,Discouraged work-seeker,0,zaf
1996,43,Black African,Not economically active,63011.38097,zaf
1996,43,Black African,Unspecified,2.2157,zaf
1996,43,Black African,Not applicable,3784.4102,zaf
1996,44,White,Employed,44375.23234,zaf
1996,44,White,Unemployed,1631.03964,zaf
1996,44,White,Discouraged work-seeker,0,zaf
1996,44,White,Not economically active,12133.4992,zaf
1996,44,White,Unspecified,0,zaf
1996,44,White,Not applicable,923.09059,zaf
1996,44,Black African,Employed,145471.5135,zaf
1996,44,Black African,Unemployed,70435.46274,zaf
1996,44,Black African,Discouraged work-seeker,0,zaf
1996,44,Black African,Not economically active,68879.06559,zaf
1996,44,Black African,Unspecified,0,zaf
1996,44,Black African,Not applicable,4113.03233,zaf
1996,45,White,Employed,44102.66885,zaf
1996,45,White,Unemployed,1616.03622,zaf
1996,45,White,Discouraged work-seeker,0,zaf
1996,45,White,Not economically active,12578.97706,zaf
1996,45,White,Unspecified,0,zaf
1996,45,White,Not applicable,987.27561,zaf
1996,45,Black African,Employed,119844.4054,zaf
1996,45,Black African,Unemployed,53482.26997,zaf
1996,45,Black African,Discouraged work-seeker,0,zaf
1996,45,Black African,Not economically active,58904.99213,zaf
1996,45,Black African,Unspecified,0,zaf
1996,45,Black African,Not applicable,3324.74052,zaf
1996,46,White,Employed,43246.07983,zaf
1996,46,White,Unemployed,1540.09692,zaf
1996,46,White,Discouraged work-seeker,0,zaf
1996,46,White,Not economically active,12927.48153,zaf
1996,46,White,Unspecified,0,zaf
1996,46,White,Not applicable,907.34746,zaf
1996,46,Black African,Employed,133597.4248,zaf
1996,46,Black African,Unemployed,63772.22137,zaf
1996,46,Black African,Discouraged work-seeker,0,zaf
1996,46,Black African,Not economically active,72302.84221,zaf
1996,46,Black African,Unspecified,0,zaf
1996,46,Black African,Not applicable,3567.11482,zaf
1996,47,White,Employed,41530.2193,zaf
1996,47,White,Unemployed,1506.38734,zaf
1996,47,White,Discouraged work-seeker,0,zaf
1996,47,White,Not economically active,13172.36229,zaf
1996,47,White,Unspecified,0,zaf
1996,47,White,Not applicable,874.02641,zaf
1996,47,Black African,Employed,104285.6073,zaf
1996,47,Black African,Unemployed,49013.39183,zaf
1996,47,Black African,Discouraged work-seeker,0,zaf
1996,47,Black African,Not economically active,58888.6184,zaf
1996,47,Black African,Unspecified,0,zaf
1996,47,Black African,Not applicable,2772.44405,zaf
1996,48,White,Employed,42257.7227,zaf
1996,48,White,Unemployed,1555.52837,zaf
1996,48,White,Discouraged work-seeker,0,zaf
1996,48,White,Not economically active,14694.13812,zaf
1996,48,White,Unspecified,0,zaf
1996,48,White,Not applicable,880.49409,zaf
1996,48,Black African,Employed,110356.3308,zaf
1996,48,Black African,Unemployed,50842.70441,zaf
1996,48,Black African,Discouraged work-seeker,0,zaf
1996,48,Black African,Not economically active,64857.32286,zaf
1996,48,Black African,Unspecified,0,zaf
1996,48,Black African,Not applicable,2859.0195,zaf
1996,49,White,Employed,41195.00603,zaf
1996,49,White,Unemployed,1498.48362,zaf
1996,49,White,Discouraged work-seeker,0,zaf
1996,49,White,Not economically active,14873.79038,zaf
1996,49,White,Unspecified,0,zaf
1996,49,White,Not applicable,926.47381,zaf
1996,49,Black African,Employed,92854.63218,zaf
1996,49,Black African,Unemployed,42279.4238,zaf
1996,49,Black African,Discouraged work-seeker,0,zaf
1996,49,Black African,Not economically active,56912.27544,zaf
1996,49,Black African,Unspecified,0,zaf
1996,49,Black African,Not applicable,2392.40826,zaf
1996,50,White,Employed,39083.61966,zaf
1996,50,White,Unemployed,1505.12047,zaf
1996,50,White,Discouraged work-seeker,0,zaf
1996,50,White,Not economically active,16244.0299,zaf
1996,50,White,Unspecified,0,zaf
1996,50,White,Not applicable,915.54603,zaf
1996,50,Black African,Employed,92433.4005,zaf
1996,50,Black African,Unemployed,39882.11321,zaf
1996,50,Black African,Discouraged work-seeker,0,zaf
1996,50,Black African,Not economically active,65766.83519,zaf
1996,50,Black African,Unspecified,1.0805,zaf
1996,50,Black African,Not applicable,2523.30592,zaf
1996,51,White,Employed,33352.75553,zaf
1996,51,White,Unemployed,1253.80272,zaf
1996,51,White,Discouraged work-seeker,0,zaf
1996,51,White,Not economically active,14791.33829,zaf
1996,51,White,Unspecified,0,zaf
1996,51,White,Not applicable,812.87928,zaf
